sku_id;seller_id;category_main;category_sub;brand_id;price_segment;sku_launch_dt;base_price_rub;current_discount_share;rating_avg;reviews_cnt;is_active_catalog_flag;package_type;color_group;photo_cnt;description_len;has_video_flag;warehouse_package_weight_g
5000107;100004;Электроника;смарт-устройства;электроника_brand_090;low;2024-11-17;1010;0.403;4.8;18;1;unknown;red;8;559;0;673
5000108;100004;Электроника;аудио;электроника_brand_095;premium;2024-04-22;15760;0.603;4.82;30;1;unknown;multicolor;6;705;0;436
5000109;100004;Электроника;аксессуары;электроника_brand_052;premium;2024-12-20;12060;0.062;4.57;95;1;blister;multicolor;4;40;0;206
5000110;100004;Электроника;мелкая техника;электроника_brand_088;high;2024-04-09;5910;0.132;4.92;21;1;unknown;red;5;571;0;214
5000111;100004;Электроника;мелкая техника;электроника_brand_058;low;2024-02-27;770;0.112;4.99;33;1;box;blue;8;359;0;150
5000112;100004;Электроника;аудио;электроника_brand_102;premium;2024-03-22;11270;0.332;4.59;31;1;tube;multicolor;3;117;0;814
5000113;100004;Электроника;аудио;электроника_brand_090;low;2024-05-04;610;0.332;4.77;494;1;unknown;beige;5;715;0;1298
5000114;100004;Электроника;мелкая техника;электроника_brand_016;mid;2025-05-16;2820;0.65;4.44;197;1;blister;multicolor;7;640;0;150
5000115;100004;Электроника;аудио;электроника_brand_076;high;2024-10-04;5130;0.264;4.49;24;1;box;blue;7;360;1;283
5000116;100004;Электроника;аксессуары;электроника_brand_007;low;2024-06-06;550;0.148;4.81;33;1;blister;black;8;719;1;608
5000117;100004;Электроника;смарт-устройства;электроника_brand_116;premium;2024-05-08;9060;0.122;4.69;51;1;blister;green;3;867;0;348
5000118;100004;Электроника;аксессуары;электроника_brand_037;low;2024-04-21;1440;0.202;4.48;9;1;bag;unknown;8;1097;0;133
5000119;100004;Электроника;смарт-устройства;электроника_brand_083;low;2025-02-16;510;0.314;4.44;40;1;box;beige;6;895;1;419
5000120;100004;Электроника;смарт-устройства;электроника_brand_015;premium;2024-09-28;11580;0.331;4.29;59;1;tube;red;8;185;0;333
5000121;100004;Электроника;аксессуары;электроника_brand_068;low;2024-08-19;900;0.392;4.2;8;1;bag;red;11;570;1;3239
5000122;100004;Электроника;мелкая техника;электроника_brand_113;mid;2024-05-03;2050;0.082;3.83;10;1;tube;beige;6;394;1;1256
5000123;100004;Электроника;аудио;электроника_brand_095;low;2024-03-07;610;0.187;4.76;74;1;bag;blue;8;593;0;510
5000124;100005;Детские товары;школа;детские_товары_brand_024;low;2024-03-30;620;0.154;4.15;51;1;box;red;2;733;1;47
5000125;100005;Детские товары;одежда детская;детские_товары_brand_050;low;2024-11-18;1280;0.391;4.62;30;1;bag;white;8;584;0;779
5000126;100005;Детские товары;уход;детские_товары_brand_047;mid;2024-09-10;2740;0.164;3.83;63;1;bag;green;11;833;0;230
5000127;100005;Детские товары;игрушки;детские_товары_brand_113;low;2024-05-06;1070;0.251;3.74;98;1;tube;beige;4;523;1;909
5000128;100005;Детские товары;игрушки;детские_товары_brand_118;ultra_low;2024-04-04;460;0.232;04.04;31;1;unknown;green;7;1038;0;1620
5000129;100005;Детские товары;игрушки;детские_товары_brand_019;low;2024-12-04;520;0.273;4.45;12;1;blister;unknown;6;361;1;147
5000130;100005;Детские товары;питание;детские_товары_brand_082;low;2024-03-17;620;0.319;3.59;26;1;bag;green;6;870;0;642
5000131;100005;Детские товары;школа;детские_товары_brand_034;mid;2024-12-04;3020;0.077;4.41;90;1;blister;multicolor;8;1108;0;362
5000132;100005;Детские товары;уход;детские_товары_brand_020;low;2024-03-20;710;0.023;3.83;26;1;tube;beige;4;241;0;94
5000133;100005;Детские товары;одежда детская;детские_товары_brand_004;mid;2024-06-24;1570;0.216;04.01;13;1;blister;beige;3;626;1;222
5000134;100005;Детские товары;уход;детские_товары_brand_033;mid;2024-07-04;3240;0.285;04.04;67;0;unknown;black;7;273;1;881
5000135;100005;Детские товары;игрушки;детские_товары_brand_079;high;2024-04-19;4720;0.08;04.03;12;1;tube;red;12;440;1;177
5000136;100006;Аксессуары;сумки;аксессуары_brand_070;low;2024-09-10;1290;0.187;4.52;165;1;bag;multicolor;5;869;1;1030
5000137;100006;Аксессуары;бижутерия;аксессуары_brand_054;high;2024-11-27;7930;0.139;04.09;26;1;tube;multicolor;5;517;0;899
5000138;100006;Аксессуары;ремни;аксессуары_brand_034;ultra_low;2025-07-03;440;0.23;04.04;28;0;unknown;red;7;95;1;469
5000139;100006;Аксессуары;очки;аксессуары_brand_057;low;2025-01-24;880;0.421;3.87;11;1;box;unknown;5;416;1;1659
5000140;100006;Аксессуары;головные уборы;аксессуары_brand_097;low;2024-12-12;820;0.604;3.69;25;1;bag;multicolor;4;771;0;4471
5000141;100006;Аксессуары;ремни;аксессуары_brand_072;low;2025-05-21;1410;0.483;04.02;5;0;bag;red;5;621;0;566
5000142;100006;Аксессуары;бижутерия;аксессуары_brand_100;ultra_low;2024-09-12;310;0.187;04.04;21;1;bag;green;7;104;0;876
5000143;100006;Аксессуары;бижутерия;аксессуары_brand_001;low;2025-02-28;650;0.172;3.75;32;0;box;multicolor;5;1021;0;885
5000144;100006;Аксессуары;сумки;аксессуары_brand_035;low;2025-03-02;1010;0.246;3.51;9;0;blister;green;7;236;0;2808
5000145;100006;Аксессуары;головные уборы;аксессуары_brand_005;low;2024-11-13;750;0.214;3.55;118;1;bag;beige;8;725;0;574
5000146;100006;Аксессуары;сумки;аксессуары_brand_058;ultra_low;2024-09-05;370;0.01;3.85;33;1;box;multicolor;3;618;1;1601
5000147;100006;Аксессуары;головные уборы;аксессуары_brand_093;mid;2024-10-26;3120;0.264;3.54;19;1;box;white;7;444;1;949
5000148;100006;Аксессуары;ремни;аксессуары_brand_004;ultra_low;2024-10-31;490;0.062;4.2;13;0;blister;white;3;498;0;264
5000149;100006;Аксессуары;ремни;аксессуары_brand_053;low;2024-09-30;580;0.137;4.43;28;1;unknown;multicolor;5;924;1;541
5000150;100006;Аксессуары;сумки;аксессуары_brand_022;ultra_low;2025-06-04;350;0.245;3.59;124;0;bag;beige;7;892;0;289
5000151;100006;Аксессуары;сумки;аксессуары_brand_088;mid;2024-09-25;1790;0.155;3.24;27;1;box;black;10;864;0;2395
5000152;100006;Аксессуары;ремни;аксессуары_brand_094;mid;2024-09-14;2160;0.072;3.94;36;1;box;beige;7;936;0;318
5000153;100006;Аксессуары;сумки;аксессуары_brand_060;mid;2025-06-22;2600;0.102;3.68;15;0;bag;red;5;492;0;155
5000154;100006;Аксессуары;бижутерия;аксессуары_brand_095;mid;2025-03-26;3330;0.268;3.95;32;0;box;blue;3;580;0;4919
5000155;100006;Аксессуары;сумки;аксессуары_brand_092;mid;2025-07-05;2930;0.22;04.02;23;0;box;beige;5;704;1;252
5000156;100006;Аксессуары;сумки;аксессуары_brand_052;mid;2024-12-30;3080;0.279;3.64;61;1;bag;green;6;279;0;248
5000157;100006;Аксессуары;очки;аксессуары_brand_074;low;2024-10-20;630;0.225;3.55;24;1;blister;multicolor;6;943;0;243
5000158;100007;Дом;декор;дом_brand_002;mid;2024-01-06;1790;0.315;3.69;45;1;tube;white;6;509;0;105
5000159;100007;Дом;товары для кухни;дом_brand_059;high;2024-05-16;7180;0.164;3.47;7;1;bag;unknown;6;872;0;895
5000160;100007;Дом;декор;дом_brand_020;low;2024-07-23;1370;0.249;04.07;35;1;box;multicolor;6;662;0;303
5000161;100007;Дом;товары для кухни;дом_brand_011;low;2024-05-31;960;0.096;3.85;6;1;box;green;6;758;0;207
5000162;100007;Дом;текстиль;дом_brand_020;ultra_low;2024-09-09;470;0.052;04.09;2;1;unknown;white;6;613;0;1098
5000163;100007;Дом;декор;дом_brand_012;mid;2024-06-01;2520;0.121;3.82;28;1;unknown;multicolor;2;653;0;392
5000164;100007;Дом;посуда;дом_brand_101;mid;2024-01-03;1620;0.108;3.99;33;0;box;multicolor;8;723;0;443
5000165;100007;Дом;товары для кухни;дом_brand_007;low;2024-01-15;690;0.134;3.49;45;1;bag;multicolor;10;935;0;329
5000166;100007;Дом;посуда;дом_brand_097;mid;2024-04-14;1630;0.215;3.2;9;0;unknown;red;3;841;0;631
5000167;100008;Дом;декор;дом_brand_035;mid;2024-12-06;1650;0.158;3.24;8;1;unknown;unknown;4;466;1;427
5000168;100008;Дом;текстиль;дом_brand_017;low;2024-05-03;780;0.127;4.37;28;1;unknown;red;6;517;0;1726
5000169;100008;Дом;посуда;дом_brand_025;mid;2024-01-22;2720;0.488;4.16;11;1;unknown;unknown;5;698;0;397
5000170;100008;Дом;текстиль;дом_brand_115;high;2024-01-07;4130;0.32;3.54;2;1;tube;green;4;589;1;902
5000171;100008;Дом;декор;дом_brand_010;high;2024-03-19;5600;0.011;3.79;16;1;unknown;black;10;462;0;256
5000172;100008;Дом;хранение;дом_brand_018;low;2024-06-02;1100;0.086;4.22;47;1;unknown;red;5;795;1;443
5000173;100008;Дом;декор;дом_brand_096;high;2024-06-22;4730;0.276;4.1;8;1;blister;green;7;132;0;393
5000174;100008;Дом;декор;дом_brand_111;low;2024-12-02;1440;0.354;4.22;15;1;blister;green;5;192;0;2545
5000175;100008;Дом;посуда;дом_brand_051;low;2024-02-19;1050;0.092;3.83;23;1;tube;blue;7;835;0;214
5000176;100008;Дом;текстиль;дом_brand_099;low;2024-04-18;1030;0.314;4.16;8;1;tube;beige;5;320;0;272
5000177;100008;Дом;текстиль;дом_brand_115;mid;2024-02-12;1530;0.356;2.95;38;1;box;unknown;9;493;0;971
5000178;100008;Дом;декор;дом_brand_053;high;2024-05-17;6260;0.637;3.6;41;1;unknown;green;7;561;0;195
5000179;100008;Дом;посуда;дом_brand_040;high;2024-07-12;5660;0.039;04.02;17;1;box;black;5;742;1;1446
5000180;100008;Дом;товары для кухни;дом_brand_001;mid;2024-09-22;2730;0.465;3.44;99;1;tube;blue;4;739;1;408
5000181;100008;Дом;товары для кухни;дом_brand_009;high;2025-01-20;6720;0.316;3.86;121;0;bag;blue;4;873;0;352
5000182;100008;Дом;декор;дом_brand_050;high;2024-06-03;6910;0.231;3.48;14;1;tube;blue;6;344;0;171
5000183;100008;Дом;текстиль;дом_brand_028;mid;2024-02-17;3120;0.303;3.85;7;1;box;red;3;412;0;256
5000184;100008;Дом;посуда;дом_brand_115;high;2024-03-05;5430;0.417;3.52;4;1;bag;unknown;4;662;0;407
5000185;100008;Дом;товары для кухни;дом_brand_018;low;2024-01-17;1030;0.053;04.05;39;1;unknown;white;3;632;0;692
5000186;100009;Обувь;сапоги;обувь_brand_003;premium;2026-02-16;10510;0.154;4.52;6;1;bag;black;4;807;1;104
5000187;100009;Обувь;туфли;обувь_brand_091;high;2026-03-01;7920;0.331;3.85;9;1;box;unknown;5;583;0;743
5000188;100009;Обувь;кроссовки;обувь_brand_110;high;2025-10-17;7300;0.214;3.84;9;1;bag;multicolor;7;595;0;73
5000189;100009;Обувь;туфли;обувь_brand_042;mid;2026-03-21;2490;0.33;3.9;16;1;tube;white;5;544;0;977
5000190;100009;Обувь;туфли;обувь_brand_067;high;2026-01-19;8360;0.282;3.66;0;1;box;unknown;7;401;0;464
5000191;100009;Обувь;сандалии;обувь_brand_003;high;2025-09-22;4980;0.469;04.06;34;1;box;blue;6;694;1;665
5000192;100009;Обувь;сандалии;обувь_brand_105;mid;2026-02-16;1830;0.387;4.55;4;1;box;red;7;1092;0;1374
5000193;100009;Обувь;туфли;обувь_brand_114;high;2025-10-16;6550;0.417;3.72;59;1;box;red;5;725;0;1200
5000194;100009;Обувь;туфли;обувь_brand_025;high;2026-01-31;5150;0.128;3.42;15;1;unknown;unknown;8;726;0;1521
5000195;100009;Обувь;ботинки;обувь_brand_104;mid;2026-01-08;3450;0.084;4.16;23;1;box;green;8;649;0;831
5000196;100009;Обувь;кроссовки;обувь_brand_062;low;2025-09-29;1300;0.089;04.03;93;1;unknown;black;5;556;0;508
5000197;100009;Обувь;сандалии;обувь_brand_019;mid;2025-10-25;3580;0.094;3.72;34;1;box;green;4;923;1;628
5000198;100009;Обувь;ботинки;обувь_brand_079;mid;2026-01-24;3820;0.061;4.22;1;1;box;multicolor;3;477;0;550
5000199;100009;Обувь;кроссовки;обувь_brand_102;low;2025-11-19;1400;0.36;3.8;13;1;tube;green;5;576;0;241
5000200;100009;Обувь;сандалии;обувь_brand_016;high;2026-02-28;6100;0.174;3.73;2;1;bag;red;6;703;0;608
5000201;100010;Аксессуары;ремни;аксессуары_brand_092;low;2026-01-28;1410;0.352;3.74;5;0;unknown;black;2;845;0;691
5000202;100010;Аксессуары;сумки;аксессуары_brand_009;low;2026-04-15;600;0.184;3.68;7;1;bag;red;5;391;0;1286
5000203;100010;Аксессуары;очки;аксессуары_brand_117;high;2026-04-11;4560;0.156;4.0;13;1;unknown;multicolor;7;616;0;173
5000204;100010;Аксессуары;бижутерия;аксессуары_brand_098;ultra_low;2026-02-22;410;0.233;3.41;1;1;tube;white;8;691;0;76
5000205;100010;Аксессуары;головные уборы;аксессуары_brand_010;low;2026-03-20;900;0.195;3.78;1;1;box;black;7;508;0;2693
5000206;100010;Аксессуары;бижутерия;аксессуары_brand_084;low;2026-02-15;940;0.114;3.6;1;1;blister;blue;6;707;0;915
5000207;100010;Аксессуары;головные уборы;аксессуары_brand_080;mid;2025-12-25;2450;0.27;3.61;27;1;bag;white;4;908;0;1183
5000208;100010;Аксессуары;головные уборы;аксессуары_brand_058;ultra_low;2026-01-09;320;0.325;4.2;4;1;unknown;unknown;5;997;0;4256
5000209;100010;Аксессуары;ремни;аксессуары_brand_078;low;2025-12-30;780;0.69;4.24;18;1;box;multicolor;5;211;1;1384
5000210;100010;Аксессуары;сумки;аксессуары_brand_012;ultra_low;2026-04-18;440;0.127;3.49;8;1;box;red;4;818;0;151
5000211;100010;Аксессуары;очки;аксессуары_brand_069;ultra_low;2026-01-12;340;0.148;3.77;5;1;unknown;red;7;656;1;678
5000212;100010;Аксессуары;очки;аксессуары_brand_075;ultra_low;2025-12-22;430;0.066;3.36;26;1;blister;white;7;304;0;933
