push_id,user_id,send_time,push_type,opened_flag,open_time,clicked_flag,click_time,purchase_after_push_flag,purchase_time,utm_source,utm_campaign,disabled_push_after_flag,push_title_len,push_text_len,emoji_flag,push_send_provider
69,9081142,2025-02-14 09:12:00,recommendation,1,2025-02-14 10:49:00,0,,0,,push,,0,37,165,1,provider_c
70,9081142,2025-02-21 18:47:00,promo,0,,0,,0,,push,,0,62,85,0,provider_b
71,9081142,2025-02-24 16:02:00,recommendation,0,,0,,0,,push,,0,21,41,0,provider_b
72,9081142,2025-02-25 19:02:00,recommendation,0,,0,,0,,push,,0,53,96,1,provider_b
73,9081142,2025-03-03 11:51:00,price_drop,0,,0,,0,,push,,0,77,139,0,provider_a
74,9081142,2025-03-08 12:05:00,promo,0,,0,,0,,push,,0,24,142,1,provider_a
75,9081142,2025-04-14 09:58:00,promo,1,2025-04-14 10:25:00,0,,0,,push,,0,78,113,0,provider_a
76,9081142,2025-05-09 14:11:00,cart_reminder,0,,0,,0,,push,,0,38,90,0,provider_a
77,9081142,2025-05-11 12:01:00,category_sale,1,2025-05-11 13:16:00,1,2025-05-11 13:53:00,0,,push,,0,59,63,1,provider_b
78,9081142,2025-05-15 11:52:00,price_drop,1,2025-05-15 13:20:00,1,2025-05-15 14:12:00,0,,push,,0,47,128,0,provider_c
79,9081142,2025-05-27 19:14:00,promo,0,,0,,0,,push,,0,20,72,1,provider_a
80,9081142,2025-05-29 11:39:00,category_sale,0,,0,,0,,push,,0,57,114,0,provider_b
81,9081142,2025-06-01 15:51:00,category_sale,1,2025-06-01 17:05:00,0,,0,,push,,0,50,42,1,provider_a
82,9081142,2025-06-14 18:13:00,recommendation,0,,0,,0,,push,,0,55,74,0,provider_c
83,9081142,2025-06-15 10:20:00,cart_reminder,0,,0,,0,,push,,0,54,175,0,provider_a
84,9081142,2025-06-19 09:33:00,category_sale,1,2025-06-19 10:45:00,1,2025-06-19 11:06:00,0,,push,,0,76,143,0,provider_a
85,9081142,2025-06-28 18:45:00,recommendation,1,2025-06-28 19:53:00,0,,0,,push,,0,69,168,0,provider_a
86,9081142,2025-07-07 20:42:00,recommendation,1,2025-07-07 23:24:00,0,,0,,push,,0,24,47,1,provider_c
87,9081142,2025-08-10 17:20:00,cart_reminder,0,,0,,0,,push,,0,45,49,0,provider_a
88,9081142,2025-08-19 13:31:00,promo,0,,0,,0,,push,,0,36,58,1,provider_c
89,9081142,2025-08-25 19:49:00,price_drop,0,,0,,0,,push,,0,52,77,1,provider_b
90,9081142,2025-08-29 13:56:00,price_drop,0,,0,,0,,push,,0,32,76,1,provider_b
91,9081142,2025-09-13 15:21:00,promo,0,,0,,0,,push,,0,44,158,1,provider_b
92,9081142,2025-09-24 12:09:00,recommendation,0,,0,,0,,push,,0,72,41,1,provider_a
93,9081142,2025-09-27 15:26:00,cart_reminder,0,,0,,0,,push,,0,79,163,1,provider_a
94,9081142,2025-10-21 18:35:00,promo,0,,0,,0,,push,,0,27,128,1,provider_a
95,9081142,2025-10-24 09:00:00,promo,0,,0,,0,,push,,0,75,40,1,provider_b
96,9081142,2025-11-07 10:41:00,recommendation,0,,0,,0,,push,,0,45,43,0,provider_c
97,9081142,2025-11-14 12:52:00,promo,0,,0,,0,,push,,0,34,136,1,provider_a
98,9081142,2025-11-21 16:07:00,price_drop,1,2025-11-21 18:20:00,0,,0,,push,,0,70,62,0,provider_b
99,9081142,2025-11-23 14:03:00,recommendation,1,2025-11-23 16:37:00,0,,0,,push,,0,32,150,0,provider_b
100,9081142,2025-11-26 18:39:00,promo,1,2025-11-26 19:49:00,1,2025-11-26 20:44:00,0,,push,,0,23,88,0,provider_b
101,9081142,2025-12-01 19:01:00,promo,1,2025-12-01 20:52:00,0,,0,,push,,0,51,159,1,provider_a
102,9081142,2025-12-28 17:58:00,promo,0,,0,,0,,push,,0,68,95,1,provider_b
103,9081142,2026-01-06 13:11:00,price_drop,1,2026-01-06 14:55:00,0,,0,,push,,0,58,145,0,provider_a
104,9081142,2026-01-28 09:03:00,category_sale,0,,0,,0,,push,,0,56,130,1,provider_a
105,9081142,2026-02-03 10:09:00,category_sale,1,2026-02-03 11:58:00,0,,0,,push,,0,65,122,1,provider_a
106,9081142,2026-02-04 09:33:00,promo,0,,0,,0,,push,,0,62,89,1,provider_b
107,9081142,2026-02-11 14:09:00,promo,1,2026-02-11 16:31:00,0,,0,,push,,0,24,83,0,provider_b
108,9081142,2026-02-15 14:47:00,recommendation,0,,0,,0,,push,,0,57,72,0,provider_a
109,9081142,2026-02-16 17:15:00,promo,0,,0,,0,,push,,0,58,65,0,provider_b
110,9081142,2026-02-17 14:30:00,promo,0,,0,,0,,push,,0,59,140,1,provider_a
111,9081142,2026-03-05 19:08:00,recommendation,0,,0,,0,,push,,0,19,168,1,provider_a
112,9081142,2026-03-06 13:53:00,recommendation,0,,0,,0,,push,,0,40,160,1,provider_a
113,9081142,2026-03-09 16:47:00,recommendation,1,2026-03-09 17:55:00,1,2026-03-09 18:05:00,0,,push,,0,25,117,0,provider_a
114,9081142,2026-03-20 14:40:00,promo,0,,0,,0,,push,,0,26,80,0,provider_a
115,9081142,2026-04-03 11:26:00,promo,0,,0,,0,,push,,0,43,164,1,provider_b
116,9081142,2026-04-21 20:50:00,recommendation,1,2026-04-21 21:05:00,0,,0,,push,,0,19,75,1,provider_c
117,9081142,2026-04-25 10:43:00,promo,0,,0,,0,,push,,0,51,90,0,provider_a
118,9078487,2025-06-10 19:30:00,recommendation,0,,0,,0,,push,,0,73,96,1,provider_a
119,9078487,2025-07-01 19:45:00,category_sale,0,,0,,0,,push,,0,66,111,1,provider_b
120,9078487,2025-07-12 14:13:00,cart_reminder,0,,0,,0,,push,,0,33,70,1,provider_a
121,9078487,2025-08-30 11:17:00,promo,0,,0,,0,,push,,0,26,89,1,provider_a
122,9078487,2025-09-17 14:28:00,price_drop,0,,0,,0,,push,,0,62,162,1,provider_b
123,9078487,2025-09-22 20:15:00,promo,0,,0,,0,,push,,0,21,160,1,provider_a
124,9078487,2025-09-26 18:49:00,cart_reminder,0,,0,,0,,push,,0,55,43,1,provider_a
125,9078487,2025-10-20 11:03:00,cart_reminder,0,,0,,0,,push,,0,22,58,1,provider_a
126,9078487,2025-10-21 18:54:00,recommendation,0,,0,,0,,push,,0,20,172,0,provider_a
127,9078487,2025-11-15 09:00:00,recommendation,0,,0,,0,,push,,0,77,64,1,provider_a
128,9078487,2025-12-19 14:51:00,promo,0,,0,,0,,push,,0,73,95,0,provider_a
129,9078487,2026-02-03 17:15:00,cart_reminder,0,,0,,0,,push,,0,23,56,0,provider_a
130,9078487,2026-03-10 11:30:00,promo,0,,0,,0,,push,,0,63,126,1,provider_a
131,9078487,2026-03-11 09:13:00,category_sale,0,,0,,0,,push,,0,35,65,1,provider_a
132,9078487,2026-03-28 17:45:00,category_sale,0,,0,,0,,push,,0,36,127,0,provider_a
133,9104266,2024-07-16 18:44:00,recommendation,0,,0,,0,,push,,0,44,149,0,provider_b
134,9104266,2024-07-31 14:27:00,promo,0,,0,,0,,push,,0,38,100,0,provider_a
135,9104266,2024-08-05 20:00:00,price_drop,0,,0,,0,,push,,0,29,165,1,provider_a
136,9104266,2024-08-06 10:10:00,recommendation,0,,0,,0,,push,,0,54,121,1,provider_b
137,9104266,2024-11-08 11:31:00,promo,0,,0,,0,,push,,0,69,105,0,provider_b
138,9104266,2024-11-12 19:50:00,category_sale,1,2024-11-12 20:19:00,0,,0,,push,,0,50,119,0,provider_a
139,9104266,2024-11-22 13:31:00,recommendation,0,,0,,0,,push,,0,27,100,0,provider_a
140,9104266,2024-11-27 09:24:00,recommendation,0,,0,,0,,push,,0,43,163,1,provider_b
141,9104266,2024-12-14 16:00:00,price_drop,0,,0,,0,,push,,0,62,64,1,provider_a
142,9104266,2024-12-15 15:36:00,cart_reminder,0,,0,,0,,push,,0,24,86,0,provider_a
143,9104266,2025-01-16 09:44:00,promo,0,,0,,0,,push,,0,51,98,1,provider_a
144,9104266,2025-01-26 09:09:00,promo,0,,0,,0,,push,,0,29,137,0,provider_a
145,9104266,2025-01-27 16:12:00,recommendation,1,2025-01-27 17:13:00,0,,0,,push,,0,75,117,1,provider_c
146,9104266,2025-01-29 18:48:00,recommendation,0,,0,,0,,push,,0,34,97,0,provider_c
147,9104266,2025-02-10 10:43:00,cart_reminder,0,,0,,0,,push,,0,65,106,1,provider_a
148,9104266,2025-02-12 11:48:00,price_drop,1,2025-02-12 13:16:00,1,2025-02-12 13:30:00,0,,push,,0,72,80,0,provider_b
149,9104266,2025-04-23 11:38:00,cart_reminder,0,,0,,0,,push,,0,44,102,1,provider_a
150,9104266,2025-07-01 17:46:00,recommendation,0,,0,,0,,push,,0,75,107,1,provider_a
151,9104266,2025-07-22 18:20:00,price_drop,0,,0,,0,,push,,0,19,82,0,provider_c
152,9104266,2025-08-09 14:10:00,cart_reminder,0,,0,,0,,push,,0,23,51,0,provider_a
153,9104266,2025-08-15 18:46:00,recommendation,0,,0,,0,,push,,0,67,92,0,provider_a
154,9104266,2025-09-16 16:14:00,recommendation,0,,0,,0,,push,,0,41,72,1,provider_b
155,9104266,2025-09-17 17:48:00,price_drop,1,2025-09-17 18:32:00,0,,0,,push,,0,31,169,1,provider_a
156,9104266,2025-09-21 20:15:00,recommendation,0,,0,,0,,push,,0,33,85,1,provider_b
157,9104266,2025-10-10 16:56:00,cart_reminder,1,2025-10-10 19:41:00,1,2025-10-10 20:01:00,0,,push,,0,21,80,0,provider_c
158,9104266,2025-10-17 18:36:00,cart_reminder,0,,0,,0,,push,,0,67,120,0,provider_c
159,9104266,2025-10-31 11:10:00,recommendation,0,,0,,0,,push,,0,74,70,0,provider_a
160,9104266,2025-11-07 16:05:00,cart_reminder,0,,0,,0,,push,,0,79,86,0,provider_a
161,9104266,2025-11-29 10:37:00,category_sale,0,,0,,0,,push,,0,29,72,1,provider_a
162,9104266,2026-01-28 09:17:00,promo,0,,0,,0,,push,,0,75,75,1,provider_a
163,9104266,2026-02-02 16:27:00,category_sale,0,,0,,0,,push,,0,71,54,0,provider_c
164,9104266,2026-02-03 18:20:00,cart_reminder,1,2026-02-03 19:00:00,0,,0,,push,,0,32,80,0,provider_a
165,9104266,2026-02-05 14:02:00,promo,0,,0,,0,,push,,0,76,59,1,provider_a
166,9104266,2026-03-03 12:18:00,promo,0,,0,,0,,push,,0,30,59,1,provider_a
167,9104266,2026-03-25 16:53:00,category_sale,1,2026-03-25 18:53:00,0,,0,,push,,0,66,144,1,provider_a
168,9104266,2026-04-18 20:35:00,price_drop,1,2026-04-18 23:03:00,0,,0,,push,,0,65,153,0,provider_b
169,9020295,2026-03-12 11:09:00,price_drop,0,,0,,0,,push,,1,63,100,1,provider_c
170,9020295,2026-03-13 18:30:00,category_sale,1,2026-03-13 21:10:00,0,,0,,push,,0,56,153,0,provider_c
171,9020295,2026-03-14 12:57:00,promo,1,2026-03-14 13:02:00,0,,0,,push,,0,73,97,0,provider_a
172,9020295,2026-03-15 15:41:00,promo,0,,0,,0,,push,,0,75,123,0,provider_a
173,9020295,2026-03-16 16:33:00,category_sale,0,,0,,0,,push,,0,59,48,1,provider_a
174,9020295,2026-03-17 12:52:00,recommendation,0,,0,,0,,push,,0,42,139,1,provider_a
175,9020295,2026-03-18 12:26:00,recommendation,0,,0,,0,,push,,0,36,81,0,provider_a
176,9020295,2026-03-19 15:58:00,promo,0,,0,,0,,push,,0,26,59,1,provider_a
177,9020295,2026-03-21 19:01:00,recommendation,0,,0,,0,,push,,0,63,44,0,provider_a
178,9020295,2026-03-22 14:16:00,recommendation,0,,0,,0,,push,,0,67,77,0,provider_b
179,9020295,2026-03-23 18:33:00,promo,0,,0,,0,,push,,0,44,65,1,provider_b
180,9020295,2026-03-24 09:44:00,cart_reminder,0,,0,,0,,push,,0,39,51,1,provider_a
181,9020295,2026-03-25 15:33:00,promo,0,,0,,0,,push,,0,22,170,1,provider_a
182,9020295,2026-03-26 13:18:00,cart_reminder,0,,0,,0,,push,,0,74,64,1,provider_a
183,9020295,2026-03-27 18:15:00,cart_reminder,0,,0,,0,,push,,0,65,53,0,provider_b
184,9020295,2026-03-28 19:40:00,promo,0,,0,,0,,push,,0,49,73,1,provider_c
185,9020295,2026-03-29 12:40:00,cart_reminder,0,,0,,0,,push,,0,39,129,1,provider_b
186,9020295,2026-03-30 16:38:00,cart_reminder,0,,0,,0,,push,,0,65,176,0,provider_a
187,9020295,2026-03-31 09:52:00,promo,0,,0,,0,,push,,0,62,173,0,provider_a
188,9020295,2026-04-01 11:04:00,promo,0,,0,,0,,push,,0,22,137,1,provider_c
189,9020295,2026-04-03 12:04:00,recommendation,0,,0,,0,,push,,0,48,42,0,provider_a
190,9020295,2026-04-05 19:05:00,cart_reminder,0,,0,,0,,push,,0,71,176,0,provider_a
191,9020295,2026-04-06 15:18:00,recommendation,0,,0,,0,,push,,0,62,87,1,provider_c
192,9020295,2026-04-07 19:26:00,price_drop,0,,0,,0,,push,,0,73,156,1,provider_c
193,9020295,2026-04-08 17:03:00,recommendation,0,,0,,0,,push,,0,42,125,0,provider_b
194,9020295,2026-04-09 11:17:00,promo,0,,0,,0,,push,,0,67,63,1,provider_b
195,9020295,2026-04-10 19:05:00,recommendation,0,,0,,0,,push,,0,62,164,1,provider_a
196,9020295,2026-04-11 17:09:00,cart_reminder,0,,0,,0,,push,,0,63,172,1,provider_a
197,9020295,2026-04-12 14:08:00,cart_reminder,0,,0,,0,,push,,0,64,161,0,provider_c
198,9020295,2026-04-13 16:06:00,cart_reminder,0,,0,,0,,push,,0,39,136,1,provider_c
199,9020295,2026-04-14 11:29:00,price_drop,0,,0,,0,,push,,0,75,121,0,provider_a
200,9020295,2026-04-15 20:59:00,price_drop,0,,0,,0,,push,,0,76,60,0,provider_a
201,9020295,2026-04-16 16:46:00,category_sale,0,,0,,0,,push,,0,78,165,1,provider_b
202,9020295,2026-04-17 09:09:00,price_drop,0,,0,,0,,push,,0,66,166,0,provider_b
203,9020295,2026-04-18 13:21:00,cart_reminder,0,,0,,0,,push,,0,33,146,0,provider_a
204,9020295,2026-04-19 11:19:00,promo,0,,0,,0,,push,,0,26,53,1,provider_a
205,9020295,2026-04-22 13:03:00,recommendation,0,,0,,0,,push,,1,64,90,0,provider_b
206,9020295,2026-04-23 15:09:00,recommendation,0,,0,,0,,push,,0,35,90,0,provider_a
207,9020295,2026-04-24 16:40:00,promo,0,,0,,0,,push,,0,38,149,0,provider_a
208,9020295,2026-04-25 13:48:00,promo,0,,0,,0,,push,,0,28,163,0,provider_a
209,9020295,2026-04-26 17:34:00,price_drop,0,,0,,0,,push,,0,26,169,0,provider_a
210,9020295,2026-04-27 16:00:00,price_drop,0,,0,,0,,push,,0,63,146,0,provider_a
211,9020295,2026-04-29 12:26:00,recommendation,0,,0,,0,,push,,0,23,154,1,provider_c
212,9020295,2026-04-30 13:14:00,promo,0,,0,,0,,push,,0,35,132,0,provider_c
213,9020295,2026-05-01 17:59:00,promo,0,,0,,0,,push,,0,46,168,0,provider_a
214,9105073,2024-07-21 14:13:00,recommendation,1,2024-07-21 16:25:00,0,,0,,push,,0,60,70,0,provider_b
215,9105073,2024-07-27 20:18:00,promo,0,,0,,0,,push,,0,21,101,0,provider_a
216,9105073,2024-08-06 18:43:00,price_drop,0,,0,,0,,push,,0,43,154,1,provider_b
217,9105073,2024-08-23 15:41:00,recommendation,0,,0,,0,,push,,0,28,129,1,provider_b
218,9105073,2024-09-10 09:39:00,price_drop,0,,0,,0,,push,,0,25,139,1,provider_a
219,9105073,2024-09-19 10:05:00,recommendation,0,,0,,0,,push,,0,31,61,1,provider_a
220,9105073,2024-10-07 20:22:00,category_sale,0,,0,,0,,push,,0,18,68,0,provider_b
221,9105073,2024-10-27 20:50:00,category_sale,0,,0,,0,,push,,0,27,71,1,provider_a
222,9105073,2024-11-06 11:50:00,promo,0,,0,,0,,push,,0,68,144,1,provider_b
223,9105073,2024-11-10 10:35:00,recommendation,0,,0,,0,,push,,0,76,48,0,provider_b
224,9105073,2024-12-19 11:28:00,price_drop,0,,0,,0,,push,,0,77,112,1,provider_a
225,9105073,2024-12-25 20:14:00,category_sale,0,,0,,0,,push,,0,40,162,1,provider_a
226,9105073,2025-01-06 09:50:00,recommendation,0,,0,,0,,push,,0,48,95,0,provider_a
227,9105073,2025-01-14 17:04:00,promo,0,,0,,0,,push,,0,29,118,1,provider_a
228,9105073,2025-01-18 20:38:00,cart_reminder,0,,0,,0,,push,,0,67,111,1,provider_b
229,9105073,2025-02-13 15:18:00,price_drop,0,,0,,0,,push,,0,48,66,0,provider_b
230,9105073,2025-02-24 13:35:00,promo,0,,0,,0,,push,,0,20,84,0,provider_b
231,9105073,2025-03-03 09:51:00,price_drop,1,2025-03-03 11:42:00,0,,0,,push,,0,43,52,0,provider_a
232,9105073,2025-03-11 18:57:00,recommendation,0,,0,,0,,push,,0,18,139,0,provider_b
233,9105073,2025-03-28 13:52:00,cart_reminder,0,,0,,0,,push,,0,42,51,1,provider_b
234,9105073,2025-04-12 12:33:00,recommendation,0,,0,,0,,push,,0,47,114,0,provider_b
235,9105073,2025-04-14 11:28:00,recommendation,0,,0,,0,,push,,0,61,57,0,provider_c
236,9105073,2025-04-19 12:50:00,recommendation,0,,0,,0,,push,,0,25,133,1,provider_b
237,9105073,2025-05-02 09:40:00,category_sale,0,,0,,0,,push,,0,29,124,1,provider_a
238,9105073,2025-06-08 14:31:00,category_sale,0,,0,,0,,push,,0,70,178,0,provider_a
239,9105073,2025-07-09 10:31:00,price_drop,0,,0,,0,,push,,0,22,123,1,provider_b
240,9105073,2025-07-13 09:13:00,price_drop,0,,0,,0,,push,,0,29,75,0,provider_a
241,9105073,2025-07-16 20:30:00,category_sale,0,,0,,0,,push,,0,41,134,0,provider_a
242,9105073,2025-07-17 12:37:00,promo,0,,0,,0,,push,,0,61,117,0,provider_c
243,9105073,2025-08-11 14:25:00,recommendation,0,,0,,0,,push,,0,29,86,1,provider_a
244,9105073,2025-08-25 11:37:00,recommendation,0,,0,,0,,push,,0,60,58,0,provider_c
245,9105073,2025-09-10 12:53:00,recommendation,0,,0,,0,,push,,0,77,47,1,provider_a
246,9105073,2025-09-13 15:59:00,recommendation,0,,0,,0,,push,,0,79,118,1,provider_b
247,9105073,2025-10-01 10:59:00,category_sale,0,,0,,0,,push,,0,50,66,1,provider_a
248,9105073,2025-10-19 11:19:00,promo,1,2025-10-19 13:43:00,0,,0,,push,,0,51,155,0,provider_a
249,9105073,2025-11-07 13:44:00,promo,0,,0,,0,,push,,0,57,52,0,provider_a
250,9105073,2025-11-12 19:42:00,promo,0,,0,,0,,push,,0,61,121,0,provider_a
251,9105073,2025-11-27 18:24:00,promo,0,,0,,0,,push,,0,20,99,0,provider_a
252,9105073,2025-12-11 11:27:00,recommendation,0,,0,,0,,push,,0,79,47,1,provider_a
253,9105073,2025-12-15 19:32:00,recommendation,1,2025-12-15 21:40:00,0,,0,,push,,0,51,179,0,provider_c
254,9105073,2025-12-19 19:41:00,category_sale,0,,0,,0,,push,,0,68,86,1,provider_a
255,9105073,2026-01-02 16:55:00,promo,0,,0,,0,,push,,0,26,79,1,provider_c
256,9105073,2026-01-13 14:59:00,recommendation,0,,0,,0,,push,,0,39,116,0,provider_a
257,9105073,2026-02-16 13:22:00,price_drop,0,,0,,0,,push,,0,46,150,1,provider_b
258,9105073,2026-03-20 15:37:00,recommendation,0,,0,,0,,push,,0,37,147,0,provider_a
259,9105073,2026-03-26 19:52:00,recommendation,0,,0,,0,,push,,0,75,40,0,provider_c
260,9105073,2026-03-27 14:17:00,price_drop,0,,0,,0,,push,,0,33,143,1,provider_b
261,9105073,2026-04-20 09:55:00,category_sale,0,,0,,0,,push,,0,32,174,1,provider_b
262,9105073,2026-04-28 19:47:00,promo,0,,0,,0,,push,,0,66,138,0,provider_a
263,9114668,2024-08-05 16:02:00,promo,0,,0,,0,,push,,0,37,51,0,provider_a
264,9114668,2024-09-03 16:21:00,promo,0,,0,,0,,push,,0,19,126,1,provider_a
265,9114668,2024-09-07 15:10:00,promo,0,,0,,0,,push,,0,66,124,1,provider_b
266,9114668,2024-09-12 13:58:00,category_sale,0,,0,,0,,push,,0,41,135,0,provider_b
