Column1;user_id;user_registration_dt;platform;region_cluster;gender;age;push_enabled_flag;fav_category_1;fav_category_2;fav_category_3;last_purchase_dt;frequency_orders;monetary_sum;avg_order_value;recency_days;app_version;device_price_bucket;email_subscribed_flag;dark_theme_flag
48;9000049;04.07.2024;iOS;Юг;female;34;1;Одежда;Товары для животных;Дом;22.09.2024;1;406.7;406.7;585;7.3;unknown;1;0
49;9000050;08.12.2023;iOS;Москва и МО;female;46;0;Спорт;Красота;Дом;12.02.2026;3;9099.23;3033.0766666666664;77;7.3;mid;0;0
50;9000051;22.03.2023;Web;Центр;female;27;1;Одежда;Электроника;Красота;09.04.2026;3;7201.01;2400.3366666666666;21;7.4;unknown;1;0
51;9000052;28.06.2024;iOS;Юг;female;26;1;Спорт;Дом;Детские товары;15.01.2026;2;4282.0;2141.0;105;8.1;low;1;0
52;9000053;22.01.2025;iOS;Урал;female;45;1;Электроника;Красота;Детские товары;;0;0.0;0.0;999;7.3;mid;0;1
53;9000054;25.02.2024;iOS;Москва и МО;female;31;1;Красота;Одежда;Одежда;26.04.2026;1;1215.4;1215.4;4;8.0;mid;1;0
54;9000055;22.07.2023;Android;Сибирь;female;24;0;Одежда;Товары для животных;Одежда;07.02.2025;1;687.96;687.96;447;7.2;low;1;0
55;9000056;27.10.2025;iOS;Москва и МО;unknown;33;1;Обувь;Одежда;Товары для животных;;0;0.0;0.0;999;8.0;mid;1;0
56;9000057;21.06.2023;iOS;Юг;female;16;1;Одежда;Обувь;Спорт;04.11.2025;3;15186.34;5062.113333333334;177;7.3;low;1;1
57;9000058;15.08.2023;iOS;Поволжье;female;30;0;Спорт;Детские товары;Спорт;18.02.2026;2;1931.28;965.64;71;8.0;mid;1;0
58;9000059;17.03.2024;iOS;Центр;unknown;41;1;Обувь;Электроника;Обувь;08.09.2024;1;1752.78;1752.78;599;7.3;low;0;0
59;9000060;03.08.2023;Android;Сибирь;female;42;0;Одежда;Аксессуары;Товары для животных;23.07.2025;2;6731.78;3365.89;281;8.1;high;0;1
60;9000061;14.08.2025;Android;Центр;male;53;1;Детские товары;Одежда;Электроника;12.12.2025;2;6999.2;3499.6;139;7.3;unknown;0;1
61;9000062;09.05.2024;iOS;Урал;female;40;1;Детские товары;Одежда;Спорт;01.02.2026;5;5166.39;1033.278;88;7.4;mid;1;1
62;9000063;06.05.2023;Android;Москва и МО;male;24;0;Красота;Одежда;Аксессуары;;0;0.0;0.0;999;7.2;unknown;1;0
63;9000064;26.03.2023;Android;Урал;male;40;1;Дом;Одежда;Детские товары;04.04.2026;2;7258.4;3629.2;26;7.4;mid;1;0
64;9000065;30.06.2023;Android;Центр;male;39;1;Дом;Одежда;Электроника;22.01.2025;1;2710.4;2710.4;463;7.1;mid;0;1
65;9000066;02.08.2023;iOS;Юг;female;45;1;Дом;Одежда;Аксессуары;15.03.2026;2;8822.52;4411.26;46;8.0;high;1;1
66;9000067;23.01.2023;Android;Санкт-Петербург;male;24;0;Канцелярия;Дом;Обувь;28.09.2025;2;6288.9400000000005;3144.4700000000003;214;7.3;mid;1;1
67;9000068;22.12.2023;Android;Центр;male;33;0;Дом;Красота;Детские товары;;0;0.0;0.0;999;7.3;low;1;1
68;9000069;15.03.2023;Android;Юг;female;28;1;Одежда;Спорт;Электроника;26.12.2025;1;5717.53;5717.53;125;8.1;high;0;0
69;9000070;23.09.2025;Android;Юг;male;34;1;Одежда;Электроника;Детские товары;28.10.2025;1;662.16;662.16;184;7.1;unknown;1;0
70;9000071;09.01.2025;iOS;Поволжье;male;25;1;Канцелярия;Красота;Товары для животных;07.12.2025;1;269.76;269.76;144;8.1;mid;1;0
71;9000072;07.07.2023;Web;Сибирь;male;28;1;Электроника;Спорт;Аксессуары;06.12.2025;1;296.96;296.96;145;8.1;low;1;1
72;9000073;19.11.2023;Android;Москва и МО;female;38;1;Красота;Обувь;Аксессуары;19.04.2026;3;8099.599999999999;2699.8666666666663;11;7.4;mid;0;0
73;9000074;13.02.2026;iOS;Урал;unknown;35;1;Дом;Электроника;Аксессуары;;0;0.0;0.0;999;8.0;unknown;1;0
74;9000075;13.01.2024;iOS;Москва и МО;female;21;1;Канцелярия;Одежда;Обувь;01.01.2026;2;378.01;189.005;119;7.3;mid;1;0
75;9000076;10.10.2024;iOS;Москва и МО;female;30;0;Канцелярия;Товары для животных;Дом;19.02.2026;3;2420.3;806.7666666666668;70;7.1;high;1;1
76;9000077;16.07.2025;iOS;Москва и МО;female;34;0;Одежда;Красота;Спорт;25.12.2025;2;3099.97;1549.985;126;7.2;mid;1;0
77;9000078;19.02.2023;iOS;Москва и МО;female;21;1;Обувь;Дом;Красота;03.01.2026;3;3583.87;1194.6233333333332;117;7.3;unknown;1;1
78;9000079;25.08.2024;Android;Москва и МО;female;35;1;Дом;Обувь;Товары для животных;31.07.2025;1;735.84;735.84;273;7.3;mid;1;0
79;9000080;25.10.2022;Android;Юг;female;43;0;Детские товары;Электроника;Аксессуары;16.07.2025;2;13501.99;6750.995;288;7.4;mid;0;0
80;9000081;24.02.2025;Web;Урал;female;36;1;Обувь;Канцелярия;Аксессуары;24.12.2025;1;2847.9;2847.9;127;8.0;mid;1;0
81;9000082;23.11.2024;iOS;Москва и МО;unknown;37;1;Обувь;Одежда;Спорт;;0;0.0;0.0;999;8.1;high;1;0
82;9000083;30.05.2025;Android;Санкт-Петербург;female;40;1;Красота;Детские товары;Спорт;05.03.2026;1;7038.36;7038.36;56;8.0;mid;1;1
83;9000084;07.01.2026;Android;Санкт-Петербург;female;39;1;Детские товары;Электроника;Спорт;;0;0.0;0.0;999;7.3;mid;0;1
84;9000085;25.02.2023;iOS;Юг;male;42;0;Дом;Одежда;Детские товары;22.01.2026;3;3007.1099999999997;1002.37;98;7.4;mid;0;0
85;9000086;25.05.2023;iOS;Москва и МО;unknown;53;1;Одежда;Спорт;Товары для животных;;0;0.0;0.0;999;7.3;high;1;0
86;9000087;03.05.2024;Android;Москва и МО;unknown;29;1;Одежда;Красота;Электроника;25.03.2026;4;6871.01;1717.7525;36;7.1;high;1;0
87;9000088;08.07.2024;iOS;Санкт-Петербург;female;44;1;Аксессуары;Одежда;Красота;20.12.2025;2;3270.26;1635.13;131;7.4;mid;0;0
88;9000089;27.11.2025;Android;Поволжье;male;32;1;Обувь;Одежда;Красота;;0;0.0;0.0;999;7.4;high;0;1
89;9000090;22.12.2025;Web;Москва и МО;female;37;0;Одежда;Красота;Канцелярия;;0;0.0;0.0;999;8.0;mid;1;1
90;9000091;25.08.2025;Android;Дальний Восток;female;42;1;Одежда;Красота;Спорт;;0;0.0;0.0;999;8.0;mid;0;0
91;9000092;16.12.2023;Web;Сибирь;female;24;1;Канцелярия;Детские товары;Товары для животных;28.02.2025;3;1681.67;560.5566666666667;426;7.3;high;0;0
92;9000093;18.07.2023;Android;Урал;female;33;1;Детские товары;Аксессуары;Дом;18.02.2026;1;885.96;885.96;71;8.1;unknown;0;0
93;9000094;11.04.2024;Android;Санкт-Петербург;male;37;0;Одежда;Красота;Красота;09.06.2025;1;923.75;923.75;325;8.0;mid;1;0
94;9000095;18.04.2025;Android;Санкт-Петербург;female;46;1;Спорт;Одежда;Электроника;;0;0.0;0.0;999;8.0;unknown;0;0
95;9000096;19.06.2025;iOS;Москва и МО;female;31;1;Красота;Канцелярия;Красота;11.07.2025;1;661.55;661.55;293;7.1;low;1;1
96;9000097;05.04.2024;Web;Москва и МО;male;38;1;Одежда;Дом;Обувь;07.11.2025;1;212.4;212.4;174;8.0;low;1;0
97;9000098;28.01.2026;Web;Поволжье;female;25;1;Детские товары;Красота;Одежда;;0;0.0;0.0;999;7.2;mid;1;1
98;9000099;07.01.2026;Android;Дальний Восток;male;19;1;Одежда;Одежда;Дом;;0;0.0;0.0;999;8.1;unknown;1;1
99;9000100;23.03.2024;Android;Москва и МО;female;50;1;Одежда;Красота;Спорт;18.10.2025;4;5050.1;1262.525;194;8.1;high;1;0
100;9000101;01.11.2023;Android;Санкт-Петербург;female;24;1;Одежда;Обувь;Красота;27.02.2025;2;1162.53;581.265;427;8.0;low;1;1
101;9000102;19.11.2022;Android;Урал;female;33;1;Товары для животных;Красота;Электроника;;0;0.0;0.0;999;7.4;unknown;0;1
102;9000103;14.07.2025;Android;Москва и МО;male;31;1;Дом;Дом;Электроника;15.08.2025;1;5558.91;5558.91;258;7.3;mid;0;1
103;9000104;10.07.2024;iOS;Санкт-Петербург;female;35;1;Одежда;Аксессуары;Дом;01.03.2026;2;7257.38;3628.69;60;7.4;low;1;0
104;9000105;01.07.2023;Android;Санкт-Петербург;male;47;1;Электроника;Красота;Аксессуары;31.12.2024;1;823.2;823.2;485;8.0;mid;0;0
105;9000106;27.07.2024;iOS;Центр;female;37;1;Спорт;Красота;Электроника;;0;0.0;0.0;999;8.0;high;1;1
106;9000107;17.12.2024;iOS;Дальний Восток;male;25;1;Красота;Электроника;Дом;05.04.2026;1;1703.1;1703.1;25;7.2;low;0;1
107;9000108;03.12.2024;Android;Центр;male;41;1;Аксессуары;Красота;Дом;13.01.2026;1;1741.94;1741.94;107;7.1;mid;1;0
108;9000109;07.04.2025;Android;Юг;male;33;0;Электроника;Красота;Спорт;06.12.2025;2;2442.65;1221.325;145;8.1;low;0;0
109;9000110;30.06.2024;iOS;Дальний Восток;female;16;1;Одежда;Детские товары;Детские товары;20.01.2026;2;1712.37;856.185;100;7.3;low;1;0
110;9000111;31.10.2024;Android;Центр;male;29;1;Дом;Одежда;Электроника;29.04.2026;3;10898.22;3632.74;1;7.4;unknown;1;1
111;9000112;13.01.2023;iOS;Урал;male;44;1;Дом;Аксессуары;Обувь;;0;0.0;0.0;999;8.1;mid;1;0
112;9000113;03.02.2023;Android;Юг;female;33;1;Одежда;Спорт;Детские товары;30.06.2025;1;2444.96;2444.96;304;8.1;low;1;0
113;9000114;09.05.2023;iOS;Центр;female;37;1;Одежда;Аксессуары;Обувь;22.08.2025;2;3626.9;1813.45;251;7.4;mid;1;1
114;9000115;23.06.2023;Android;Поволжье;female;31;1;Электроника;Канцелярия;Одежда;11.04.2026;3;4393.54;1464.513333333333;19;8.0;mid;1;0
115;9000116;04.01.2024;Android;Москва и МО;male;32;1;Одежда;Спорт;Спорт;;0;0.0;0.0;999;7.4;high;0;1
116;9000117;08.05.2025;Web;Санкт-Петербург;female;21;1;Одежда;Детские товары;Красота;11.04.2026;3;1997.44;665.8133333333334;19;7.4;low;0;0
117;9000118;02.05.2023;iOS;Поволжье;male;22;1;Аксессуары;Дом;Аксессуары;19.12.2025;3;5020.01;1673.3366666666668;132;7.3;mid;0;1
118;9000119;04.08.2025;Android;Центр;male;36;0;Одежда;Товары для животных;Обувь;09.09.2025;1;944.16;944.16;233;8.0;mid;1;1
119;9000120;18.06.2023;iOS;Сибирь;male;31;1;Электроника;Детские товары;Аксессуары;;0;0.0;0.0;999;7.3;unknown;1;1
120;9000121;10.11.2024;Android;Поволжье;male;29;1;Обувь;Одежда;Одежда;01.05.2026;2;2747.94;1373.97;-1;7.2;mid;0;0
121;9000122;10.04.2026;iOS;Санкт-Петербург;male;31;1;Электроника;Детские товары;Одежда;;0;0.0;0.0;999;7.4;mid;0;0
122;9000123;19.05.2025;Web;Санкт-Петербург;male;46;1;Аксессуары;Спорт;Электроника;;0;0.0;0.0;999;8.0;low;0;1
123;9000124;07.04.2026;Android;Урал;male;40;1;Красота;Товары для животных;Аксессуары;;0;0.0;0.0;999;8.0;high;1;0
124;9000125;07.01.2023;Android;Сибирь;female;24;1;Красота;Одежда;Красота;17.07.2025;1;3157.32;3157.32;287;7.4;mid;1;1
125;9000126;23.08.2024;Android;Центр;male;41;0;Красота;Аксессуары;Детские товары;21.02.2026;4;2771.3199999999997;692.8299999999999;68;7.1;high;1;0
126;9000127;19.06.2024;Android;Поволжье;female;30;1;Красота;Детские товары;Красота;;0;0.0;0.0;999;8.0;mid;1;0
127;9000128;15.11.2022;Web;Центр;male;39;1;Канцелярия;Красота;Дом;06.04.2026;2;637.72;318.86;24;8.0;mid;0;0
128;9000129;13.01.2026;iOS;Санкт-Петербург;male;33;1;Одежда;Красота;Аксессуары;25.01.2026;1;4240.2;4240.2;95;7.3;mid;1;1
129;9000130;02.05.2025;iOS;Поволжье;female;52;1;Обувь;Товары для животных;Дом;24.08.2025;1;159.16;159.16;249;7.3;mid;0;0
130;9000131;07.07.2023;iOS;Урал;male;39;1;Дом;Красота;Электроника;07.03.2026;2;2474.74;1237.37;54;7.1;low;1;0
131;9000132;11.12.2024;Web;Санкт-Петербург;female;33;0;Канцелярия;Дом;Электроника;16.11.2025;5;4513.91;902.782;165;7.2;mid;1;0
132;9000133;17.03.2024;Android;Урал;female;31;1;Красота;Одежда;Дом;25.04.2026;4;4890.62;1222.655;5;7.3;mid;1;0
133;9000134;12.01.2025;Android;Юг;female;41;0;Дом;Дом;Красота;;0;0.0;0.0;999;7.2;mid;1;0
134;9000135;16.12.2023;iOS;Поволжье;female;42;0;Товары для животных;Одежда;Аксессуары;21.12.2025;3;3435.92;1145.3066666666666;130;7.4;mid;1;0
135;9000136;12.05.2023;iOS;Санкт-Петербург;female;35;0;Обувь;Одежда;Канцелярия;17.03.2026;3;1559.56;519.8533333333334;44;7.3;mid;1;0
136;9000137;12.03.2025;Android;Москва и МО;male;28;1;Дом;Товары для животных;Красота;;0;0.0;0.0;999;8.1;mid;0;0
137;9000138;29.07.2025;Android;Центр;male;29;0;Одежда;Дом;Красота;;0;0.0;0.0;999;8.1;low;1;0
138;9000139;17.09.2025;iOS;Центр;male;22;1;Дом;Электроника;Товары для животных;17.02.2026;1;13728.0;13728.0;72;7.3;unknown;0;1
139;9000140;31.10.2024;iOS;Поволжье;female;38;1;Дом;Обувь;Обувь;27.06.2025;1;3821.8;3821.8;307;7.1;mid;1;0
140;9000141;23.02.2023;Android;Урал;female;42;0;Спорт;Одежда;Детские товары;15.02.2026;1;5580.12;5580.12;74;8.1;mid;0;1
141;9000142;26.01.2026;Android;Центр;female;68;1;Дом;Дом;Дом;;0;0.0;0.0;999;8.0;mid;1;1
142;9000143;12.07.2025;Android;Москва и МО;female;25;1;Красота;Одежда;Одежда;;0;0.0;0.0;999;8.0;mid;1;1
143;9000144;22.09.2022;Android;Сибирь;female;38;1;Красота;Электроника;Аксессуары;19.02.2026;2;983.76;491.88;70;7.4;high;1;0
144;9000145;07.07.2024;Android;Санкт-Петербург;male;26;1;Обувь;Одежда;Электроника;03.02.2026;1;10025.35;10025.35;86;7.3;mid;1;0
145;9000146;14.05.2025;iOS;Санкт-Петербург;male;51;1;Одежда;Обувь;Аксессуары;03.12.2025;2;5502.62;2751.31;148;7.3;mid;0;1
146;9000147;06.03.2025;Web;Юг;female;25;1;Аксессуары;Аксессуары;Электроника;30.01.2026;2;2829.34;1414.67;90;8.0;high;0;1
147;9000148;31.03.2026;iOS;Дальний Восток;female;40;1;Одежда;Аксессуары;Одежда;;0;0.0;0.0;999;8.0;low;0;0
148;9000149;26.04.2026;Android;Юг;female;25;1;Электроника;Дом;Спорт;;0;0.0;0.0;999;8.1;low;1;0
149;9000150;22.02.2026;Android;Москва и МО;male;39;1;Детские товары;Обувь;Аксессуары;;0;0.0;0.0;999;7.4;low;1;1
150;9000151;11.01.2025;iOS;Москва и МО;female;31;1;Одежда;Электроника;Электроника;27.12.2025;1;646.78;646.78;124;8.0;low;1;0
151;9000152;25.10.2024;Android;Москва и МО;male;29;1;Товары для животных;Обувь;Дом;;0;0.0;0.0;999;7.3;mid;1;0
152;9000153;18.02.2023;Web;Урал;unknown;28;1;Красота;Электроника;Товары для животных;20.12.2025;3;3263.44;1087.8133333333333;131;7.4;high;1;0
153;9000154;06.09.2025;iOS;Центр;unknown;43;1;Красота;Товары для животных;Одежда;28.11.2025;1;4652.75;4652.75;153;8.1;mid;0;0
154;9000155;01.03.2025;iOS;Москва и МО;male;26;1;Дом;Электроника;Обувь;31.03.2026;1;2004.99;2004.99;30;8.1;unknown;0;0
155;9000156;02.02.2026;iOS;Юг;female;33;1;Аксессуары;Одежда;Одежда;;0;0.0;0.0;999;7.2;high;1;0
156;9000157;08.10.2024;Android;Поволжье;unknown;55;1;Товары для животных;Спорт;Дом;;0;0.0;0.0;999;7.2;mid;1;1
157;9000158;27.09.2022;Web;Центр;unknown;17;1;Детские товары;Электроника;Дом;;0;0.0;0.0;999;8.0;high;0;0
158;9000159;05.06.2023;Android;Юг;female;31;1;Спорт;Аксессуары;Одежда;20.04.2025;2;2640.25;1320.125;375;7.4;unknown;0;0
159;9000160;24.03.2023;Web;Юг;female;16;1;Канцелярия;Детские товары;Обувь;04.04.2026;4;10949.37;2737.3424999999997;26;7.2;high;1;1
160;9000161;27.07.2025;iOS;Центр;male;43;1;Красота;Детские товары;Электроника;;0;0.0;0.0;999;8.1;low;1;1
161;9000162;11.08.2025;Android;Поволжье;female;36;1;Одежда;Красота;Дом;21.02.2026;4;5478.5199999999995;1369.63;68;7.4;mid;1;0
162;9000163;26.08.2025;Android;Москва и МО;female;32;1;Одежда;Электроника;Спорт;22.11.2025;1;826.0;826.0;159;7.4;low;1;0
163;9000164;02.10.2023;Android;Поволжье;male;43;1;Дом;Одежда;Красота;01.03.2026;4;8438.9;2109.725;60;7.4;mid;1;0
164;9000165;09.03.2025;Android;Дальний Восток;unknown;16;1;Детские товары;Аксессуары;Красота;;0;0.0;0.0;999;7.3;mid;0;0
165;9000166;15.06.2024;Web;Урал;male;43;1;Обувь;Красота;Одежда;16.10.2025;2;3187.28;1593.64;196;7.4;low;0;1
166;9000167;19.12.2025;Android;Юг;female;32;1;Канцелярия;Одежда;Дом;;0;0.0;0.0;999;8.0;mid;1;1
167;9000168;29.09.2022;Web;Москва и МО;female;42;1;Красота;Аксессуары;Одежда;23.10.2024;1;5715.2;5715.2;554;8.0;high;1;0
168;9000169;21.01.2026;iOS;Юг;male;29;1;Обувь;Одежда;Одежда;;0;0.0;0.0;999;8.0;low;1;0
169;9000170;08.11.2023;Android;Поволжье;male;46;1;Одежда;Канцелярия;Аксессуары;03.02.2026;3;2676.81;892.27;86;7.4;low;1;0
170;9000171;02.04.2024;iOS;Сибирь;female;27;1;Обувь;Одежда;Красота;24.04.2025;2;5301.84;2650.92;371;7.4;high;0;0
171;9000172;04.09.2024;Web;Поволжье;female;40;0;Электроника;Красота;Одежда;;0;0.0;0.0;999;8.0;mid;1;0
172;9000173;29.06.2023;Android;Москва и МО;female;46;1;Электроника;Канцелярия;Дом;;0;0.0;0.0;999;7.4;low;0;0
173;9000174;17.11.2023;Android;Центр;female;23;1;Спорт;Дом;Одежда;28.10.2025;2;4473.91;2236.955;184;8.0;high;1;0
174;9000175;03.07.2023;iOS;Юг;male;16;1;Дом;Красота;Красота;;0;0.0;0.0;999;7.4;mid;1;0
175;9000176;08.10.2022;Android;Юг;female;38;1;Одежда;Красота;Дом;20.04.2025;1;1508.94;1508.94;375;7.4;mid;1;0
176;9000177;18.05.2023;iOS;Центр;unknown;37;0;Обувь;Электроника;Красота;;0;0.0;0.0;999;7.4;low;1;0
177;9000178;17.03.2025;iOS;Юг;male;35;0;Дом;Обувь;Канцелярия;;0;0.0;0.0;999;7.4;mid;0;0
178;9000179;23.09.2024;Android;Москва и МО;male;28;1;Спорт;Дом;Одежда;01.03.2026;4;7400.49;1850.1225;60;7.3;high;1;0
179;9000180;20.11.2025;Android;Центр;male;64;1;Канцелярия;Электроника;Спорт;03.12.2025;1;342.72;342.72;148;8.0;unknown;1;0
180;9000181;03.09.2025;iOS;Урал;female;29;0;Дом;Одежда;Дом;06.04.2026;1;3853.2;3853.2;24;7.2;mid;0;0
181;9000182;25.08.2023;Web;Москва и МО;female;17;1;Детские товары;Красота;Товары для животных;11.08.2025;3;788.64;262.88;262;8.1;mid;0;0
182;9000183;30.12.2022;Web;Поволжье;male;19;1;Красота;Дом;Канцелярия;10.03.2026;3;2323.44;774.48;51;7.2;unknown;0;1
183;9000184;27.10.2025;iOS;Сибирь;female;45;1;Обувь;Одежда;Электроника;05.02.2026;1;890.88;890.88;84;8.0;mid;0;0
184;9000185;20.01.2024;iOS;Москва и МО;female;30;1;Одежда;Красота;Красота;14.04.2025;1;843.0;843.0;381;7.4;mid;1;0
185;9000186;26.04.2026;Android;Поволжье;female;30;1;Красота;Электроника;Аксессуары;;0;0.0;0.0;999;7.3;mid;1;0
186;9000187;28.10.2022;Web;Юг;female;23;1;Одежда;Одежда;Обувь;09.08.2024;1;2059.02;2059.02;629;7.4;mid;0;0
187;9000188;14.07.2025;iOS;Юг;male;33;1;Дом;Электроника;Одежда;31.08.2025;1;919.1;919.1;242;8.0;unknown;1;1
