seller_id;seller_registration_dt;seller_first_sale_dt;seller_main_category;seller_region_cluster;seller_size_bucket;fulfillment_model;seller_manager_region;seller_onboarding_channel;seller_has_logo_flag
100056;29.12.2024;08.02.2025;Канцелярия;Юг;small;FBO;west;organic;1
100057;11.02.2024;25.04.2024;Электроника;Поволжье;small;mixed;east;organic;0
100058;18.01.2025;16.02.2025;Обувь;Центр;small;FBO;east;organic;1
100059;22.07.2024;30.08.2024;Одежда;Центр;small;FBS;center;organic;0
100060;06.08.2025;11.09.2025;Детские товары;Москва и МО;micro;FBS;north;referral;1
100061;05.08.2024;22.09.2024;Электроника;Урал;micro;FBO;south;referral;1
100062;30.08.2025;13.09.2025;Спорт;Поволжье;small;FBS;east;organic;1
100063;26.02.2026;08.03.2026;Одежда;Дальний Восток;small;FBO;north;organic;0
100064;06.10.2025;11.12.2025;Красота;Санкт-Петербург;micro;FBS;east;organic;1
100065;05.05.2024;20.05.2024;Детские товары;Дальний Восток;small;FBO;east;ads;1
100066;28.05.2024;15.06.2024;Одежда;Поволжье;micro;FBS;north;referral;1
100067;23.01.2026;22.02.2026;Одежда;Сибирь;micro;FBO;north;organic;1
100068;26.01.2026;31.01.2026;Красота;Поволжье;small;FBS;east;referral;0
100069;03.08.2024;02.09.2024;Товары для животных;Москва и МО;medium;FBS;center;ads;0
100070;17.11.2023;15.12.2023;Одежда;Москва и МО;micro;mixed;west;ads;1
100071;05.10.2024;24.10.2024;Одежда;Москва и МО;small;FBO;center;offline_event;0
100072;11.07.2024;30.07.2024;Дом;Сибирь;micro;FBO;west;organic;1
100073;07.10.2023;19.10.2023;Электроника;Урал;micro;mixed;north;offline_event;0
100074;24.12.2023;04.01.2024;Дом;Москва и МО;large;FBS;west;organic;0
100075;03.03.2026;18.04.2026;Одежда;Урал;micro;FBO;center;referral;1
100076;23.10.2025;02.11.2025;Одежда;Санкт-Петербург;large;mixed;north;organic;0
100077;21.06.2025;25.07.2025;Дом;Москва и МО;micro;FBO;west;ads;1
100078;20.09.2024;21.10.2024;Дом;Санкт-Петербург;small;FBS;north;organic;1
100079;26.09.2025;03.10.2025;Спорт;Санкт-Петербург;micro;FBO;center;ads;0
100080;25.01.2025;11.02.2025;Одежда;Центр;medium;mixed;north;organic;0
100081;04.07.2024;13.07.2024;Канцелярия;Поволжье;micro;mixed;west;partner;1
100082;25.08.2023;16.10.2023;Дом;Санкт-Петербург;micro;FBO;east;partner;1
100083;25.11.2025;21.12.2025;Товары для животных;Центр;small;FBS;east;partner;1
100084;09.10.2023;01.11.2023;Аксессуары;Поволжье;medium;FBS;center;partner;0
100085;07.07.2023;13.08.2023;Дом;Урал;small;mixed;south;partner;1
100086;16.04.2024;25.05.2024;Электроника;Центр;small;FBO;north;ads;0
100087;16.03.2024;06.04.2024;Детские товары;Сибирь;micro;FBS;south;ads;1
100088;29.06.2025;14.07.2025;Обувь;Санкт-Петербург;small;FBS;south;referral;1
100089;28.10.2023;18.11.2023;Аксессуары;Поволжье;micro;mixed;north;organic;1
100090;08.10.2024;19.10.2024;Красота;Поволжье;micro;FBS;center;referral;0
100091;25.10.2025;10.11.2025;Электроника;Москва и МО;small;mixed;south;organic;1
100092;19.12.2023;27.12.2023;Канцелярия;Урал;micro;mixed;west;partner;1
100093;30.09.2023;12.10.2023;Канцелярия;Юг;small;FBS;west;partner;1
100094;08.03.2024;26.06.2024;Электроника;Дальний Восток;large;FBS;west;organic;1
100095;06.05.2024;07.08.2024;Красота;Урал;micro;FBO;west;ads;1
100096;18.01.2024;11.02.2024;Спорт;Центр;micro;mixed;south;offline_event;1
100097;16.01.2024;26.01.2024;Электроника;Москва и МО;micro;FBO;south;organic;1
100098;07.12.2025;17.12.2025;Красота;Урал;small;FBO;south;organic;1
100099;27.12.2024;18.01.2025;Красота;Поволжье;micro;FBS;north;offline_event;1
100100;11.03.2024;10.04.2024;Обувь;Москва и МО;small;FBS;north;referral;0
100101;11.01.2024;02.02.2024;Красота;Урал;micro;FBO;south;organic;0
100102;12.09.2024;27.09.2024;Одежда;Санкт-Петербург;small;FBS;north;organic;0
100103;12.07.2023;19.08.2023;Детские товары;Москва и МО;small;FBO;east;organic;0
100104;02.01.2026;20.01.2026;Красота;Центр;medium;FBS;center;organic;0
100105;10.10.2024;20.11.2024;Красота;Москва и МО;small;FBS;north;organic;1
100106;10.10.2024;04.11.2024;Спорт;Сибирь;micro;FBS;west;organic;1
100107;10.04.2024;12.06.2024;Одежда;Поволжье;micro;FBO;west;ads;1
100108;06.09.2024;12.10.2024;Электроника;Урал;micro;FBO;west;organic;1
100109;03.12.2025;14.12.2025;Электроника;Урал;small;FBS;north;ads;1
100110;25.01.2025;16.02.2025;Красота;Центр;medium;FBS;south;partner;1
100111;27.04.2025;19.05.2025;Дом;Поволжье;micro;FBO;east;partner;1
100112;27.03.2025;02.05.2025;Одежда;Поволжье;micro;FBO;west;partner;1
100113;07.06.2024;23.06.2024;Одежда;Урал;medium;FBO;north;referral;1
100114;12.05.2025;10.07.2025;Красота;Москва и МО;micro;FBS;south;organic;1
100115;03.12.2025;17.03.2026;Одежда;Санкт-Петербург;small;FBS;east;organic;1
100116;15.11.2024;31.12.2024;Детские товары;Юг;medium;FBS;center;organic;0
100117;27.02.2024;20.03.2024;Электроника;Юг;medium;FBO;north;ads;1
100118;01.01.2025;04.02.2025;Одежда;Урал;large;FBO;east;partner;0
100119;23.12.2023;31.12.2023;Электроника;Юг;medium;FBO;center;referral;1
100120;02.09.2023;11.10.2023;Товары для животных;Москва и МО;micro;mixed;south;referral;1
100121;21.01.2025;07.03.2025;Одежда;Сибирь;micro;mixed;south;ads;1
100122;06.08.2024;24.08.2024;Спорт;Москва и МО;micro;FBO;south;ads;0
100123;28.12.2025;12.02.2026;Аксессуары;Сибирь;large;FBS;center;referral;1
100124;11.08.2023;19.11.2023;Одежда;Поволжье;small;FBO;north;organic;0
100125;15.08.2023;30.08.2023;Электроника;Поволжье;micro;FBO;south;organic;0
100126;18.04.2024;10.05.2024;Одежда;Юг;small;mixed;center;organic;1
100127;08.05.2024;24.05.2024;Одежда;Поволжье;micro;FBS;center;organic;0
100128;06.06.2025;09.07.2025;Одежда;Урал;micro;FBO;west;ads;1
100129;06.03.2026;21.03.2026;Электроника;Юг;small;FBS;east;organic;0
100130;05.06.2024;03.07.2024;Аксессуары;Центр;small;FBS;center;offline_event;0
100131;23.09.2023;08.11.2023;Электроника;Москва и МО;medium;mixed;east;ads;0
100132;21.02.2026;09.03.2026;Детские товары;Юг;small;FBO;west;organic;1
100133;24.12.2025;13.01.2026;Канцелярия;Юг;micro;FBS;west;partner;1
100134;26.11.2025;07.12.2025;Красота;Юг;micro;FBS;east;referral;0
100135;17.01.2024;01.03.2024;Красота;Центр;small;FBO;south;organic;0
100136;18.12.2025;02.01.2026;Канцелярия;Центр;micro;FBO;north;offline_event;1
100137;23.02.2025;17.03.2025;Одежда;Поволжье;micro;mixed;north;partner;1
100138;11.04.2025;19.04.2025;Дом;Поволжье;medium;FBO;center;organic;0
100139;14.10.2023;27.11.2023;Одежда;Москва и МО;small;FBS;center;ads;0
100140;05.03.2025;09.03.2025;Товары для животных;Санкт-Петербург;small;mixed;south;partner;0
100141;05.03.2026;27.04.2026;Одежда;Москва и МО;small;FBO;west;partner;1
100142;29.02.2024;15.03.2024;Дом;Центр;small;mixed;west;organic;1
100143;16.12.2023;01.01.2024;Обувь;Поволжье;large;FBS;south;organic;1
100144;26.07.2023;22.09.2023;Красота;Урал;small;FBS;center;organic;1
100145;16.06.2024;02.09.2024;Аксессуары;Центр;small;FBO;east;partner;1
100146;19.11.2023;01.12.2023;Товары для животных;Санкт-Петербург;small;FBO;south;referral;0
100147;12.08.2024;23.09.2024;Красота;Санкт-Петербург;micro;FBS;south;organic;0
100148;09.09.2024;21.09.2024;Электроника;Москва и МО;small;FBS;center;referral;0
100149;08.07.2025;22.07.2025;Канцелярия;Центр;large;mixed;west;partner;1
100150;24.07.2023;09.09.2023;Электроника;Урал;small;FBS;south;organic;1
100151;14.10.2024;03.11.2024;Одежда;Центр;micro;FBO;center;organic;1
100152;05.05.2024;29.05.2024;Дом;Санкт-Петербург;micro;FBO;center;offline_event;0
100153;02.09.2023;09.09.2023;Обувь;Москва и МО;small;FBO;south;organic;0
100154;11.03.2026;;Одежда;Москва и МО;micro;FBS;north;ads;1
100155;28.07.2025;12.08.2025;Электроника;Сибирь;large;FBO;south;organic;1
100156;14.09.2023;28.10.2023;Товары для животных;Поволжье;small;FBS;south;referral;0
100157;10.11.2024;07.12.2024;Товары для животных;Центр;micro;FBO;center;organic;1
100158;19.11.2024;05.12.2024;Товары для животных;Центр;micro;FBO;north;partner;1
100159;26.02.2025;17.03.2025;Красота;Поволжье;micro;FBS;west;partner;1
100160;30.06.2024;27.07.2024;Товары для животных;Москва и МО;micro;FBO;north;offline_event;1
100161;01.07.2025;13.08.2025;Товары для животных;Санкт-Петербург;small;FBS;south;partner;1
100162;05.12.2024;14.01.2025;Красота;Центр;micro;FBO;east;partner;0
100163;19.09.2024;10.10.2024;Красота;Дальний Восток;micro;FBS;north;referral;1
100164;21.07.2025;06.08.2025;Электроника;Центр;micro;FBO;west;organic;0
100165;31.03.2024;30.04.2024;Красота;Центр;medium;FBO;center;organic;1
100166;20.01.2026;12.02.2026;Одежда;Центр;small;FBS;north;organic;1
100167;17.09.2025;01.11.2025;Дом;Санкт-Петербург;micro;FBS;center;organic;1
100168;29.04.2025;31.05.2025;Электроника;Поволжье;micro;FBS;center;organic;1
100169;16.12.2023;23.12.2023;Обувь;Урал;small;mixed;south;organic;1
100170;01.07.2025;01.08.2025;Одежда;Урал;micro;FBO;south;organic;1
100171;25.06.2025;03.07.2025;Товары для животных;Санкт-Петербург;small;FBS;south;organic;1
100172;22.09.2025;05.11.2025;Одежда;Центр;micro;FBO;center;offline_event;1
100173;24.01.2024;14.03.2024;Спорт;Поволжье;small;FBS;south;ads;0
100174;23.07.2023;30.07.2023;Дом;Санкт-Петербург;micro;FBS;south;partner;1
100175;16.12.2025;26.01.2026;Одежда;Москва и МО;micro;FBS;north;ads;1
100176;19.02.2024;07.03.2024;Красота;Центр;micro;FBS;east;offline_event;1
100177;08.03.2024;22.03.2024;Спорт;Санкт-Петербург;micro;FBO;center;organic;1
100178;15.10.2023;01.11.2023;Электроника;Центр;micro;FBO;center;ads;1
100179;12.08.2023;09.09.2023;Одежда;Центр;small;FBO;west;partner;1
100180;19.08.2024;05.09.2024;Канцелярия;Поволжье;micro;FBS;east;offline_event;0
100181;05.08.2023;14.09.2023;Аксессуары;Центр;small;FBO;east;organic;1
100182;20.10.2023;26.12.2023;Одежда;Центр;medium;FBO;north;ads;1
100183;13.05.2025;17.05.2025;Красота;Москва и МО;micro;FBS;south;offline_event;1
100184;28.10.2023;06.11.2023;Детские товары;Юг;large;mixed;east;organic;1
100185;12.04.2025;30.04.2025;Товары для животных;Москва и МО;micro;FBO;center;referral;1
100186;14.12.2023;27.01.2024;Спорт;Дальний Восток;small;FBO;center;ads;1
100187;12.09.2024;01.10.2024;Дом;Москва и МО;micro;FBS;center;ads;1
100188;22.02.2025;12.03.2025;Красота;Урал;micro;FBO;east;referral;0
100189;23.04.2025;19.05.2025;Спорт;Урал;micro;FBO;south;partner;1
100190;11.03.2025;23.05.2025;Дом;Юг;micro;FBO;center;organic;1
100191;01.10.2025;29.10.2025;Красота;Центр;large;FBO;south;partner;1
100192;16.08.2024;12.10.2024;Детские товары;Центр;small;FBO;center;organic;1
100193;04.07.2023;31.07.2023;Дом;Сибирь;medium;FBO;east;organic;1
100194;29.06.2025;14.07.2025;Аксессуары;Центр;small;FBS;east;partner;1
100195;16.10.2024;21.10.2024;Одежда;Москва и МО;micro;mixed;center;organic;1
100196;24.10.2023;02.11.2023;Красота;Москва и МО;micro;FBS;center;organic;1
100197;17.03.2025;27.03.2025;Одежда;Юг;large;FBO;center;partner;1
100198;22.02.2025;22.03.2025;Одежда;Юг;micro;FBO;south;referral;1
100199;28.08.2025;06.09.2025;Обувь;Центр;small;FBO;west;referral;0
100200;13.09.2024;17.10.2024;Обувь;Юг;large;FBS;south;organic;1
100201;25.08.2025;24.09.2025;Одежда;Москва и МО;micro;FBO;center;referral;0
100202;18.10.2024;15.11.2024;Одежда;Москва и МО;medium;FBO;east;partner;1
100203;27.12.2024;20.02.2025;Детские товары;Сибирь;micro;FBO;north;organic;0
100204;20.07.2024;22.08.2024;Дом;Санкт-Петербург;small;FBS;center;ads;1
100205;11.08.2025;30.08.2025;Детские товары;Дальний Восток;medium;FBS;east;organic;1
100206;24.07.2024;09.08.2024;Одежда;Санкт-Петербург;micro;FBS;west;partner;1
100207;05.10.2025;16.12.2025;Одежда;Центр;small;FBO;east;referral;1
100208;19.10.2024;01.12.2024;Красота;Москва и МО;small;mixed;north;ads;1
100209;25.06.2024;08.07.2024;Товары для животных;Центр;micro;FBS;north;ads;1
100210;14.12.2025;19.12.2025;Дом;Санкт-Петербург;micro;FBO;center;organic;1
100211;03.05.2025;29.05.2025;Аксессуары;Санкт-Петербург;small;FBS;north;referral;0
100212;08.11.2024;06.12.2024;Электроника;Санкт-Петербург;micro;FBS;center;offline_event;1
100213;27.02.2024;26.03.2024;Аксессуары;Поволжье;small;FBS;center;organic;1
100214;19.03.2024;23.03.2024;Товары для животных;Санкт-Петербург;micro;FBS;south;ads;1
100215;09.05.2024;19.05.2024;Детские товары;Поволжье;small;FBO;east;organic;0
100216;29.09.2023;16.10.2023;Обувь;Центр;large;FBS;center;partner;1
100217;04.12.2025;24.12.2025;Одежда;Москва и МО;small;FBS;west;organic;1
100218;13.11.2025;11.12.2025;Одежда;Санкт-Петербург;small;FBS;north;ads;1
100219;24.11.2025;22.12.2025;Обувь;Юг;small;FBO;east;ads;1
100220;25.11.2024;27.12.2024;Красота;Поволжье;micro;FBO;center;organic;1
100221;03.07.2024;11.07.2024;Детские товары;Поволжье;micro;FBS;west;partner;0
100222;06.01.2026;21.01.2026;Одежда;Дальний Восток;micro;FBS;center;organic;1
100223;15.12.2024;27.12.2024;Одежда;Юг;small;FBO;center;partner;1
100224;26.05.2025;12.06.2025;Электроника;Центр;micro;FBO;east;organic;1
100225;24.10.2024;18.11.2024;Дом;Юг;micro;FBS;north;organic;0
100226;30.12.2023;16.01.2024;Спорт;Москва и МО;small;FBO;south;organic;1
100227;20.05.2025;03.06.2025;Электроника;Центр;micro;FBO;west;organic;1
100228;04.12.2025;12.01.2026;Спорт;Москва и МО;micro;FBO;west;organic;0
100229;18.11.2024;10.12.2024;Одежда;Центр;micro;FBS;west;partner;1
100230;03.02.2026;05.04.2026;Дом;Центр;small;FBS;south;organic;0
100231;01.03.2025;06.03.2025;Электроника;Москва и МО;small;FBS;east;organic;1
100232;01.11.2025;29.11.2025;Детские товары;Поволжье;small;FBS;center;organic;1
100233;25.01.2024;13.02.2024;Аксессуары;Юг;micro;mixed;north;organic;1
100234;20.10.2023;22.11.2023;Одежда;Дальний Восток;small;FBO;north;offline_event;1
100235;10.11.2025;13.11.2025;Аксессуары;Центр;micro;FBS;south;referral;1
100236;21.12.2023;04.01.2024;Одежда;Сибирь;small;FBO;center;partner;1
100237;02.12.2023;08.01.2024;Канцелярия;Москва и МО;micro;FBS;east;organic;1
100238;04.01.2025;03.02.2025;Красота;Москва и МО;small;FBS;south;organic;1
100239;18.04.2025;06.06.2025;Одежда;Юг;medium;FBO;east;organic;0
100240;31.07.2025;14.08.2025;Одежда;Москва и МО;small;FBO;north;referral;1
100241;17.09.2025;25.09.2025;Детские товары;Дальний Восток;small;FBO;center;partner;0
100242;13.11.2023;05.02.2024;Красота;Сибирь;large;mixed;east;organic;0
100243;05.04.2025;24.04.2025;Аксессуары;Центр;small;FBS;center;referral;1
100244;12.11.2025;15.12.2025;Дом;Центр;small;FBO;west;referral;0
100245;16.05.2024;21.06.2024;Детские товары;Центр;micro;FBS;center;ads;1
100246;25.02.2025;18.03.2025;Одежда;Юг;micro;FBS;south;organic;0
100247;03.09.2025;21.09.2025;Детские товары;Поволжье;small;FBO;north;partner;0
100248;20.02.2025;27.03.2025;Аксессуары;Центр;small;FBO;center;ads;0
100249;08.04.2025;23.04.2025;Обувь;Москва и МО;micro;FBO;center;partner;1
100250;18.11.2024;30.12.2024;Одежда;Урал;micro;FBO;center;organic;1
100251;07.11.2024;23.11.2024;Обувь;Москва и МО;small;FBS;center;organic;1
100252;14.12.2024;07.03.2025;Дом;Санкт-Петербург;small;FBO;west;referral;1
100253;04.04.2024;27.04.2024;Красота;Урал;small;FBO;north;offline_event;1
100254;14.12.2023;24.12.2023;Дом;Сибирь;micro;FBS;east;partner;1
100255;05.11.2025;14.12.2025;Одежда;Москва и МО;micro;mixed;center;organic;1
100256;05.03.2025;02.04.2025;Красота;Москва и МО;small;FBS;center;offline_event;1
100257;28.05.2025;04.06.2025;Детские товары;Поволжье;small;FBS;east;ads;1
100258;14.02.2025;16.03.2025;Обувь;Центр;micro;FBO;center;ads;1
100259;02.11.2024;01.12.2024;Канцелярия;Центр;micro;FBS;center;ads;1
100260;11.07.2024;07.08.2024;Одежда;Поволжье;micro;FBS;center;organic;1
100261;20.09.2024;29.10.2024;Товары для животных;Поволжье;small;FBO;west;organic;1
100262;13.03.2026;22.03.2026;Дом;Москва и МО;micro;FBO;north;partner;0
100263;12.07.2025;07.09.2025;Красота;Санкт-Петербург;micro;FBO;north;organic;1
100264;21.10.2024;18.11.2024;Дом;Москва и МО;medium;FBO;center;organic;1
100265;02.12.2023;22.12.2023;Одежда;Юг;micro;FBS;south;partner;1
100266;04.10.2023;29.12.2023;Аксессуары;Поволжье;micro;FBO;east;referral;1
100267;31.03.2025;21.04.2025;Товары для животных;Москва и МО;micro;FBS;center;organic;1
100268;17.10.2023;27.11.2023;Спорт;Москва и МО;small;mixed;south;organic;0
100269;27.08.2024;30.08.2024;Обувь;Урал;micro;mixed;south;partner;1
100270;24.12.2024;30.12.2024;Электроника;Санкт-Петербург;small;FBO;center;organic;1
100271;05.07.2023;08.07.2023;Товары для животных;Урал;micro;FBO;east;organic;0
100272;21.04.2024;15.07.2024;Одежда;Москва и МО;small;FBS;east;organic;1
100273;18.11.2024;20.11.2024;Канцелярия;Поволжье;medium;mixed;north;partner;0
100274;17.08.2024;26.08.2024;Одежда;Урал;micro;mixed;east;partner;1
100275;27.01.2025;07.03.2025;Одежда;Поволжье;medium;FBS;center;organic;1
100276;20.11.2023;19.12.2023;Товары для животных;Санкт-Петербург;small;FBO;east;partner;1
100277;02.07.2025;25.07.2025;Электроника;Санкт-Петербург;micro;FBS;center;referral;1
100278;05.10.2023;15.11.2023;Одежда;Урал;small;FBO;south;ads;1
100279;08.02.2026;14.02.2026;Обувь;Юг;medium;mixed;center;organic;1
100280;05.09.2023;01.10.2023;Электроника;Москва и МО;micro;FBO;center;partner;1
100281;12.01.2026;05.02.2026;Детские товары;Поволжье;micro;FBS;north;offline_event;1
100282;20.06.2025;29.06.2025;Дом;Санкт-Петербург;micro;FBS;center;offline_event;0
100283;18.02.2024;25.02.2024;Обувь;Центр;small;FBO;north;referral;1
100284;11.11.2023;25.11.2023;Детские товары;Урал;micro;FBO;west;organic;0
100285;08.02.2024;05.03.2024;Канцелярия;Москва и МО;large;mixed;west;offline_event;0
100286;03.04.2025;23.04.2025;Детские товары;Сибирь;micro;FBS;east;organic;1
100287;01.04.2024;13.04.2024;Спорт;Санкт-Петербург;medium;FBS;center;ads;1
100288;19.11.2023;01.12.2023;Красота;Урал;small;FBS;center;organic;1
100289;28.09.2023;06.10.2023;Одежда;Урал;micro;FBS;east;referral;1
100290;10.07.2023;23.08.2023;Дом;Москва и МО;micro;FBO;center;referral;1
100291;10.11.2025;19.11.2025;Дом;Юг;small;FBO;west;referral;1
100292;13.11.2023;21.11.2023;Одежда;Центр;medium;FBO;west;referral;0
100293;24.12.2024;04.01.2025;Обувь;Поволжье;micro;FBO;south;organic;1
100294;03.11.2023;01.01.2024;Детские товары;Урал;micro;FBS;north;ads;1
100295;16.03.2024;26.04.2024;Спорт;Сибирь;micro;FBO;south;partner;1
100296;05.09.2025;17.09.2025;Аксессуары;Поволжье;micro;FBO;south;partner;0
100297;08.08.2023;08.09.2023;Одежда;Москва и МО;large;FBS;north;organic;0
100298;24.08.2024;29.09.2024;Красота;Сибирь;small;FBO;east;offline_event;1
100299;08.06.2025;10.07.2025;Одежда;Центр;small;FBS;center;organic;1
100300;27.11.2024;05.02.2025;Одежда;Сибирь;large;FBO;north;ads;0
100301;19.07.2023;16.08.2023;Аксессуары;Урал;micro;FBS;west;organic;1
100302;26.08.2025;16.10.2025;Одежда;Москва и МО;large;FBS;east;ads;0
100303;31.01.2024;18.02.2024;Красота;Центр;medium;FBO;west;organic;1
100304;10.09.2024;27.09.2024;Дом;Центр;micro;FBS;north;partner;1
100305;16.10.2023;04.11.2023;Одежда;Центр;medium;FBO;east;organic;1
100306;28.10.2024;17.11.2024;Дом;Центр;small;FBO;center;ads;1
100307;16.09.2023;15.10.2023;Канцелярия;Сибирь;medium;FBO;east;organic;0
100308;05.03.2026;27.03.2026;Аксессуары;Центр;micro;FBO;north;organic;1
100309;29.09.2024;23.10.2024;Красота;Центр;micro;FBS;west;organic;1
100310;07.06.2024;22.07.2024;Аксессуары;Урал;small;FBO;east;offline_event;0
100311;04.10.2024;19.10.2024;Электроника;Поволжье;small;FBS;east;organic;1
100312;26.07.2023;21.08.2023;Спорт;Урал;small;mixed;center;offline_event;1
100313;19.07.2023;15.08.2023;Спорт;Центр;small;FBO;east;partner;1
100314;24.09.2023;03.10.2023;Аксессуары;Юг;micro;FBS;east;organic;1
100315;12.11.2025;21.11.2025;Одежда;Урал;medium;FBO;south;organic;0
100316;26.09.2025;05.10.2025;Спорт;Санкт-Петербург;micro;FBS;south;organic;1
100317;11.03.2024;11.04.2024;Детские товары;Юг;small;FBO;center;organic;1
100318;07.08.2023;17.08.2023;Аксессуары;Поволжье;micro;FBO;east;ads;1
100319;27.02.2024;02.04.2024;Обувь;Сибирь;micro;FBO;east;ads;1
100320;24.12.2025;05.01.2026;Товары для животных;Москва и МО;micro;FBO;north;referral;1
100321;08.10.2023;01.11.2023;Спорт;Сибирь;small;FBO;center;partner;1
100322;22.01.2025;18.02.2025;Обувь;Урал;large;FBS;center;ads;1
100323;07.04.2025;29.04.2025;Дом;Дальний Восток;micro;FBO;south;organic;0
100324;13.07.2023;01.08.2023;Красота;Дальний Восток;medium;FBS;east;ads;1
100325;07.10.2023;23.10.2023;Дом;Юг;medium;FBO;center;referral;1
100326;29.01.2024;26.02.2024;Товары для животных;Поволжье;small;FBS;south;partner;1
100327;08.11.2024;25.11.2024;Детские товары;Урал;small;FBS;south;organic;1
100328;03.01.2026;02.02.2026;Дом;Дальний Восток;small;FBO;north;offline_event;0
100329;31.08.2023;09.12.2023;Дом;Дальний Восток;micro;FBO;north;ads;0
100330;21.12.2023;03.01.2024;Электроника;Москва и МО;medium;mixed;north;ads;0
