Column1;dt;sku_id;seller_id;category_main;price_today;discount_share;organic_impressions;organic_clicks;product_page_views;add_to_cart;organic_orders;organic_gmv;orders_total;gmv_total;margin_total;stock_units_end;stockout_flag;regional_availability_score;page_load_ms;search_result_position_avg;support_mentions_cnt
31;09.01.2025;5124963;102926;Одежда;515.79;0.479;22;1;5;1;0;0.0;0;0.0;0.0;303;0;0.582;864;44.5;0
32;10.01.2025;5124963;102926;Одежда;515.79;0.479;65;2;25;1;0;0.0;0;0.0;0.0;303;0;0.595;706;61.6;0
33;11.01.2025;5124963;102926;Одежда;515.79;0.479;14;0;1;0;0;0.0;0;0.0;0.0;303;0;0.585;1073;9.9;0
34;12.01.2025;5124963;102926;Одежда;515.79;0.479;26;1;6;1;1;515.79;1;515.79;49.75;302;0;0.575;805;18.2;0
35;13.01.2025;5124963;102926;Одежда;515.79;0.479;26;2;7;0;0;0.0;0;0.0;0.0;302;0;0.578;760;14.3;0
36;14.01.2025;5124963;102926;Одежда;515.79;0.479;33;0;6;1;0;0.0;0;0.0;0.0;302;0;0.615;1102;48.4;1
37;15.01.2025;5124963;102926;Одежда;515.79;0.479;21;0;9;1;1;515.79;1;515.79;49.75;301;0;0.471;1033;75.1;0
38;16.01.2025;5124963;102926;Одежда;515.79;0.479;35;1;15;1;1;515.79;1;515.79;49.75;300;0;0.487;1178;14.7;0
39;17.01.2025;5124963;102926;Одежда;515.79;0.479;34;2;14;0;0;0.0;0;0.0;0.0;300;0;0.341;829;50.8;0
40;18.01.2025;5124963;102926;Одежда;515.79;0.479;41;0;10;0;0;0.0;0;0.0;0.0;300;0;0.468;842;27.1;0
41;19.01.2025;5124963;102926;Одежда;515.79;0.479;43;2;15;1;0;0.0;0;0.0;0.0;300;0;0.643;239;22.6;0
42;20.01.2025;5124963;102926;Одежда;515.79;0.479;39;1;13;2;1;515.79;1;515.79;49.75;299;0;0.621;1069;51.8;0
43;21.01.2025;5124963;102926;Одежда;515.79;0.479;31;0;7;0;0;0.0;0;0.0;0.0;299;0;0.73;666;42.0;0
44;22.01.2025;5124963;102926;Одежда;515.79;0.479;26;1;10;0;0;0.0;0;0.0;0.0;299;0;0.58;1010;18.3;0
45;23.01.2025;5124963;102926;Одежда;515.79;0.479;39;0;12;1;1;515.79;1;515.79;49.75;298;0;0.515;1111;57.1;0
46;24.01.2025;5124963;102926;Одежда;515.79;0.479;23;3;9;0;0;0.0;0;0.0;0.0;298;0;0.424;879;43.6;0
47;25.01.2025;5124963;102926;Одежда;515.79;0.479;12;1;2;0;0;0.0;0;0.0;0.0;298;0;0.438;1113;3.4;0
48;26.01.2025;5124963;102926;Одежда;515.79;0.479;48;0;12;0;0;0.0;0;0.0;0.0;298;0;0.522;945;26.4;0
49;27.01.2025;5124963;102926;Одежда;515.79;0.479;41;1;12;3;0;0.0;0;0.0;0.0;298;0;0.541;1073;69.1;0
50;28.01.2025;5124963;102926;Одежда;515.79;0.479;29;1;10;1;1;515.79;1;515.79;49.75;297;0;0.449;790;34.5;0
51;29.01.2025;5124963;102926;Одежда;515.79;0.479;29;0;4;0;0;0.0;0;0.0;0.0;297;0;0.573;795;25.4;0
52;30.01.2025;5124963;102926;Одежда;515.79;0.479;6;0;3;0;0;0.0;0;0.0;0.0;297;0;0.623;1060;26.3;0
53;31.01.2025;5124963;102926;Одежда;515.79;0.479;37;2;14;1;0;0.0;0;0.0;0.0;297;0;0.561;1111;54.2;0
54;01.02.2025;5124963;102926;Одежда;515.79;0.479;35;1;6;0;0;0.0;0;0.0;0.0;297;0;0.621;690;27.7;0
55;02.02.2025;5124963;102926;Одежда;515.79;0.479;43;1;8;1;0;0.0;0;0.0;0.0;297;0;0.542;434;43.9;0
56;03.02.2025;5124963;102926;Одежда;515.79;0.479;30;2;5;0;0;0.0;0;0.0;0.0;297;0;0.489;523;23.6;0
57;04.02.2025;5124963;102926;Одежда;515.79;0.479;38;2;15;2;0;0.0;0;0.0;0.0;297;0;0.57;578;52.6;0
58;05.02.2025;5124963;102926;Одежда;515.79;0.479;54;5;12;3;2;1031.58;2;1031.58;99.51;295;0;0.523;545;30.6;0
59;06.02.2025;5124963;102926;Одежда;515.79;0.479;45;5;14;0;0;0.0;0;0.0;0.0;295;0;0.452;1217;64.6;0
60;07.02.2025;5124963;102926;Одежда;515.79;0.479;18;0;6;1;0;0.0;0;0.0;0.0;295;0;0.588;1029;71.8;0
61;08.02.2025;5124963;102926;Одежда;515.79;0.479;41;1;7;1;1;515.79;1;515.79;49.75;294;0;0.593;902;28.1;1
62;09.02.2025;5124963;102926;Одежда;515.79;0.479;72;2;23;1;0;0.0;0;0.0;0.0;294;0;0.352;737;44.0;0
63;10.02.2025;5124963;102926;Одежда;515.79;0.479;31;3;7;0;0;0.0;0;0.0;0.0;294;0;0.482;1018;50.5;0
64;11.02.2025;5124963;102926;Одежда;515.79;0.479;24;1;4;0;0;0.0;0;0.0;0.0;294;0;0.401;757;19.1;0
65;12.02.2025;5124963;102926;Одежда;515.79;0.479;47;1;12;1;0;0.0;0;0.0;0.0;294;0;0.545;1001;57.0;0
66;13.02.2025;5124963;102926;Одежда;515.79;0.479;40;2;11;0;0;0.0;0;0.0;0.0;294;0;0.679;913;1.0;0
67;14.02.2025;5124963;102926;Одежда;515.79;0.479;53;3;25;1;0;0.0;0;0.0;0.0;294;0;0.577;749;40.8;0
68;15.02.2025;5124963;102926;Одежда;515.79;0.479;48;2;21;1;0;0.0;0;0.0;0.0;294;0;0.467;1175;1.0;0
69;16.02.2025;5124963;102926;Одежда;515.79;0.479;34;2;8;1;0;0.0;0;0.0;0.0;294;0;0.586;663;33.7;0
70;17.02.2025;5124963;102926;Одежда;515.79;0.479;43;3;16;1;0;0.0;0;0.0;0.0;294;0;0.452;806;38.4;0
71;18.02.2025;5124963;102926;Одежда;515.79;0.479;20;1;5;0;0;0.0;0;0.0;0.0;294;0;0.509;852;30.5;0
72;19.02.2025;5124963;102926;Одежда;515.79;0.479;44;3;14;2;1;515.79;1;515.79;49.75;293;0;0.488;873;33.7;0
73;20.02.2025;5124963;102926;Одежда;515.79;0.479;17;0;5;1;0;0.0;0;0.0;0.0;293;0;0.507;677;21.7;0
74;21.02.2025;5124963;102926;Одежда;515.79;0.479;59;2;19;2;0;0.0;0;0.0;0.0;293;0;0.41;1179;65.8;0
75;22.02.2025;5124963;102926;Одежда;515.79;0.479;32;1;13;0;0;0.0;0;0.0;0.0;293;0;0.648;673;14.0;0
76;23.02.2025;5124963;102926;Одежда;515.79;0.479;54;3;22;0;0;0.0;0;0.0;0.0;293;0;0.474;970;32.2;0
77;24.02.2025;5124963;102926;Одежда;515.79;0.479;35;2;14;1;0;0.0;0;0.0;0.0;293;0;0.442;1023;53.4;0
78;25.02.2025;5124963;102926;Одежда;515.79;0.479;43;0;9;0;0;0.0;0;0.0;0.0;293;0;0.544;748;37.3;0
79;26.02.2025;5124963;102926;Одежда;515.79;0.479;38;2;11;1;0;0.0;0;0.0;0.0;293;0;0.416;796;25.7;0
80;27.02.2025;5124963;102926;Одежда;515.79;0.479;34;2;12;1;0;0.0;0;0.0;0.0;293;0;0.566;1102;31.0;0
81;28.02.2025;5124963;102926;Одежда;515.79;0.479;21;1;6;0;0;0.0;0;0.0;0.0;293;0;0.532;894;58.8;1
82;01.03.2025;5124963;102926;Одежда;515.79;0.479;45;2;16;3;1;515.79;1;515.79;49.75;292;0;0.451;615;24.2;0
83;02.03.2025;5124963;102926;Одежда;515.79;0.479;63;3;19;2;0;0.0;0;0.0;0.0;292;0;0.626;895;26.3;0
84;03.03.2025;5124963;102926;Одежда;515.79;0.479;54;1;18;0;0;0.0;0;0.0;0.0;292;0;0.476;1187;16.9;0
85;04.03.2025;5124963;102926;Одежда;515.79;0.479;94;6;29;2;1;515.79;1;515.79;49.75;291;0;0.584;604;57.1;0
86;05.03.2025;5124963;102926;Одежда;515.79;0.479;42;2;8;2;1;515.79;1;515.79;49.75;290;0;0.529;1037;74.9;0
87;06.03.2025;5124963;102926;Одежда;515.79;0.479;65;1;22;0;0;0.0;0;0.0;0.0;290;0;0.513;815;40.7;0
88;07.03.2025;5124963;102926;Одежда;515.79;0.479;44;3;11;0;0;0.0;0;0.0;0.0;290;0;0.609;613;46.6;1
89;08.03.2025;5124963;102926;Одежда;515.79;0.479;57;2;18;0;0;0.0;0;0.0;0.0;290;0;0.49;702;42.8;0
90;09.03.2025;5124963;102926;Одежда;515.79;0.479;65;1;24;0;0;0.0;0;0.0;0.0;290;0;0.579;708;55.3;0
91;10.03.2025;5124963;102926;Одежда;515.79;0.479;38;0;15;3;1;515.79;1;515.79;49.75;289;0;0.586;1080;1.0;1
92;11.03.2025;5124963;102926;Одежда;515.79;0.479;32;1;12;1;1;515.79;1;515.79;49.75;288;0;0.566;789;33.0;0
93;12.03.2025;5124963;102926;Одежда;515.79;0.479;40;1;16;2;0;0.0;0;0.0;0.0;288;0;0.589;179;42.5;0
94;13.03.2025;5124963;102926;Одежда;515.79;0.479;31;3;11;0;0;0.0;0;0.0;0.0;288;0;0.588;787;61.0;0
95;14.03.2025;5124963;102926;Одежда;515.79;0.479;35;1;15;0;0;0.0;0;0.0;0.0;288;0;0.535;551;24.6;0
96;15.03.2025;5124963;102926;Одежда;515.79;0.479;39;2;11;0;0;0.0;0;0.0;0.0;288;0;0.556;769;51.3;0
97;16.03.2025;5124963;102926;Одежда;515.79;0.479;51;2;20;0;0;0.0;0;0.0;0.0;288;0;0.574;604;65.6;0
98;17.03.2025;5124963;102926;Одежда;515.79;0.479;26;0;9;1;0;0.0;0;0.0;0.0;288;0;0.354;823;46.5;0
99;18.03.2025;5124963;102926;Одежда;515.79;0.479;52;2;18;2;1;515.79;1;515.79;49.75;287;0;0.485;1127;34.8;0
100;19.03.2025;5124963;102926;Одежда;515.79;0.479;47;4;13;3;0;0.0;0;0.0;0.0;287;0;0.593;1032;61.6;0
101;20.03.2025;5124963;102926;Одежда;515.79;0.479;65;1;25;1;0;0.0;0;0.0;0.0;287;0;0.441;790;10.3;0
102;21.03.2025;5124963;102926;Одежда;515.79;0.479;32;2;11;0;0;0.0;0;0.0;0.0;287;0;0.499;810;32.6;1
103;22.03.2025;5124963;102926;Одежда;515.79;0.479;46;3;11;0;0;0.0;0;0.0;0.0;287;0;0.557;986;17.0;0
104;23.03.2025;5124963;102926;Одежда;515.79;0.479;64;3;16;2;0;0.0;0;0.0;0.0;287;0;0.58;1192;36.4;0
105;24.03.2025;5124963;102926;Одежда;515.79;0.479;28;1;11;0;0;0.0;0;0.0;0.0;287;0;0.664;1022;36.3;0
106;25.03.2025;5124963;102926;Одежда;515.79;0.479;33;1;13;0;0;0.0;0;0.0;0.0;287;0;0.598;150;24.8;0
107;26.03.2025;5124963;102926;Одежда;515.79;0.479;46;1;13;0;0;0.0;0;0.0;0.0;287;0;0.495;1055;20.5;1
108;27.03.2025;5124963;102926;Одежда;515.79;0.479;38;2;15;0;0;0.0;0;0.0;0.0;287;0;0.56;847;51.6;0
109;28.03.2025;5124963;102926;Одежда;515.79;0.479;44;1;11;3;0;0.0;0;0.0;0.0;287;0;0.511;793;51.5;0
110;29.03.2025;5124963;102926;Одежда;515.79;0.479;37;1;12;0;0;0.0;0;0.0;0.0;287;0;0.614;926;46.1;0
111;30.03.2025;5124963;102926;Одежда;515.79;0.479;55;4;11;0;0;0.0;0;0.0;0.0;287;0;0.616;812;53.4;0
112;31.03.2025;5124963;102926;Одежда;515.79;0.479;59;2;20;2;1;515.79;1;515.79;49.75;286;0;0.523;895;6.8;0
113;01.04.2025;5124963;102926;Одежда;515.79;0.479;32;0;9;3;2;1031.58;2;1031.58;99.51;284;0;0.548;799;37.2;0
114;02.04.2025;5124963;102926;Одежда;515.79;0.479;57;1;15;2;1;515.79;1;515.79;49.75;283;0;0.593;791;23.6;0
115;03.04.2025;5124963;102926;Одежда;515.79;0.479;52;3;14;0;0;0.0;0;0.0;0.0;283;0;0.67;976;56.4;0
116;04.04.2025;5124963;102926;Одежда;515.79;0.479;32;0;9;0;0;0.0;0;0.0;0.0;283;0;0.58;990;28.0;0
117;05.04.2025;5124963;102926;Одежда;515.79;0.479;64;1;26;1;1;515.79;1;515.79;49.75;282;0;0.532;1141;88.2;0
118;06.04.2025;5124963;102926;Одежда;515.79;0.479;55;1;16;0;0;0.0;0;0.0;0.0;282;0;0.535;720;23.5;0
119;07.04.2025;5124963;102926;Одежда;515.79;0.479;46;2;12;1;1;515.79;1;515.79;49.75;281;0;0.589;945;57.4;0
120;08.04.2025;5124963;102926;Одежда;515.79;0.479;52;2;9;1;0;0.0;0;0.0;0.0;281;0;0.723;982;31.9;0
121;09.04.2025;5124963;102926;Одежда;515.79;0.479;33;0;11;0;0;0.0;0;0.0;0.0;281;0;0.472;868;50.3;0
122;10.04.2025;5124963;102926;Одежда;515.79;0.479;35;4;8;0;0;0.0;0;0.0;0.0;281;0;0.612;930;46.7;0
123;11.04.2025;5124963;102926;Одежда;515.79;0.479;55;2;21;0;0;0.0;0;0.0;0.0;281;0;0.57;867;44.8;0
124;12.04.2025;5124963;102926;Одежда;515.79;0.479;57;4;21;2;1;515.79;1;515.79;49.75;280;0;0.56;854;43.5;0
125;13.04.2025;5124963;102926;Одежда;515.79;0.479;90;5;26;1;0;0.0;0;0.0;0.0;280;0;0.624;912;40.0;0
126;14.04.2025;5124963;102926;Одежда;515.79;0.479;68;2;19;1;0;0.0;0;0.0;0.0;280;0;0.584;888;53.5;0
127;15.04.2025;5124963;102926;Одежда;515.79;0.479;25;1;9;0;0;0.0;0;0.0;0.0;280;0;0.568;899;11.9;0
128;16.04.2025;5124963;102926;Одежда;515.79;0.479;64;4;27;2;0;0.0;0;0.0;0.0;280;0;0.581;559;36.5;0
129;17.04.2025;5124963;102926;Одежда;515.79;0.479;32;2;12;2;1;515.79;1;515.79;49.75;279;0;0.624;1255;29.4;1
130;18.04.2025;5124963;102926;Одежда;515.79;0.479;32;4;11;0;0;0.0;0;0.0;0.0;279;0;0.542;330;29.2;0
131;19.04.2025;5124963;102926;Одежда;515.79;0.479;77;2;18;3;1;515.79;1;515.79;49.75;278;0;0.553;691;47.2;0
132;20.04.2025;5124963;102926;Одежда;515.79;0.479;58;0;17;5;1;515.79;1;515.79;49.75;277;0;0.615;395;43.3;0
133;21.04.2025;5124963;102926;Одежда;515.79;0.479;32;0;11;0;0;0.0;0;0.0;0.0;277;0;0.542;1194;61.6;0
134;22.04.2025;5124963;102926;Одежда;515.79;0.479;46;1;16;1;1;515.79;1;515.79;49.75;276;0;0.436;962;32.5;0
135;23.04.2025;5124963;102926;Одежда;515.79;0.479;38;0;17;1;0;0.0;0;0.0;0.0;276;0;0.579;746;38.9;0
136;24.04.2025;5124963;102926;Одежда;515.79;0.479;68;0;15;2;1;515.79;1;515.79;49.75;275;0;0.695;598;20.0;0
137;25.04.2025;5124963;102926;Одежда;515.79;0.479;42;1;14;0;0;0.0;0;0.0;0.0;275;0;0.571;1095;30.6;0
138;26.04.2025;5124963;102926;Одежда;515.79;0.479;75;5;21;4;0;0.0;0;0.0;0.0;275;0;0.576;806;14.1;1
139;27.04.2025;5124963;102926;Одежда;515.79;0.479;58;2;19;5;2;1031.58;2;1031.58;99.51;273;0;0.61;975;41.9;0
140;28.04.2025;5124963;102926;Одежда;515.79;0.479;38;1;14;0;0;0.0;0;0.0;0.0;273;0;0.568;865;31.4;0
141;29.04.2025;5124963;102926;Одежда;515.79;0.479;46;1;10;0;0;0.0;0;0.0;0.0;273;0;0.562;713;66.1;0
142;30.04.2025;5124963;102926;Одежда;515.79;0.479;44;0;14;2;0;0.0;0;0.0;0.0;273;0;0.688;942;78.0;0
143;01.05.2025;5124963;102926;Одежда;515.79;0.479;49;1;23;2;1;515.79;1;515.79;49.75;272;0;0.528;903;31.0;1
144;02.05.2025;5124963;102926;Одежда;515.79;0.479;41;2;13;0;0;0.0;0;0.0;0.0;272;0;0.525;1146;64.0;0
145;03.05.2025;5124963;102926;Одежда;515.79;0.479;48;0;9;0;0;0.0;0;0.0;0.0;272;0;0.561;940;14.2;0
146;04.05.2025;5124963;102926;Одежда;515.79;0.479;62;4;14;0;0;0.0;0;0.0;0.0;272;0;0.466;777;20.4;0
147;05.05.2025;5124963;102926;Одежда;515.79;0.479;80;2;22;1;0;0.0;0;0.0;0.0;272;0;0.584;1238;59.8;0
148;06.05.2025;5124963;102926;Одежда;515.79;0.479;43;1;14;2;1;515.79;1;515.79;49.75;271;0;0.598;1104;28.5;0
149;07.05.2025;5124963;102926;Одежда;515.79;0.479;43;0;12;0;0;0.0;0;0.0;0.0;271;0;0.675;581;46.2;0
150;08.05.2025;5124963;102926;Одежда;515.79;0.479;66;4;16;1;0;0.0;0;0.0;0.0;271;0;0.388;730;35.6;0
151;09.05.2025;5124963;102926;Одежда;515.79;0.479;39;1;7;1;0;0.0;0;0.0;0.0;271;0;0.544;691;49.1;0
152;10.05.2025;5124963;102926;Одежда;515.79;0.479;49;4;13;1;1;515.79;1;515.79;49.75;270;0;0.581;944;37.1;0
153;11.05.2025;5124963;102926;Одежда;515.79;0.479;60;4;22;3;2;1031.58;2;1031.58;99.51;268;0;0.524;911;30.2;0
154;12.05.2025;5124963;102926;Одежда;515.79;0.479;69;5;29;0;0;0.0;0;0.0;0.0;268;0;0.563;417;50.7;0
155;13.05.2025;5124963;102926;Одежда;515.79;0.479;34;1;8;0;0;0.0;0;0.0;0.0;268;0;0.523;1123;1.0;0
156;14.05.2025;5124963;102926;Одежда;515.79;0.479;41;2;15;0;0;0.0;0;0.0;0.0;268;0;0.688;938;67.8;0
157;15.05.2025;5124963;102926;Одежда;515.79;0.479;102;7;27;0;0;0.0;0;0.0;0.0;268;0;0.571;767;51.6;0
158;16.05.2025;5124963;102926;Одежда;515.79;0.479;56;2;15;1;0;0.0;0;0.0;0.0;268;0;0.613;775;57.4;0
159;17.05.2025;5124963;102926;Одежда;515.79;0.479;55;1;14;1;1;515.79;1;515.79;49.75;267;0;0.604;885;54.3;0
160;18.05.2025;5124963;102926;Одежда;515.79;0.479;60;4;17;2;0;0.0;0;0.0;0.0;267;0;0.479;939;5.6;0
161;19.05.2025;5124963;102926;Одежда;515.79;0.479;44;2;19;2;1;515.79;1;515.79;49.75;266;0;0.613;990;1.0;0
162;20.05.2025;5124963;102926;Одежда;515.79;0.479;36;2;8;1;0;0.0;0;0.0;0.0;266;0;0.524;1281;27.7;0
163;21.05.2025;5124963;102926;Одежда;515.79;0.479;85;3;21;0;0;0.0;0;0.0;0.0;266;0;0.685;970;44.9;1
164;22.05.2025;5124963;102926;Одежда;515.79;0.479;52;2;17;1;0;0.0;0;0.0;0.0;266;0;0.599;1165;36.7;0
165;23.05.2025;5124963;102926;Одежда;515.79;0.479;47;3;10;0;0;0.0;0;0.0;0.0;266;0;0.453;1037;26.2;0
166;24.05.2025;5124963;102926;Одежда;515.79;0.479;59;2;18;2;2;1031.58;2;1031.58;99.51;264;0;0.527;856;8.3;1
167;25.05.2025;5124963;102926;Одежда;515.79;0.479;70;3;23;0;0;0.0;0;0.0;0.0;264;0;0.517;804;56.7;0
168;26.05.2025;5124963;102926;Одежда;515.79;0.479;40;0;14;2;0;0.0;0;0.0;0.0;264;0;0.557;1277;45.8;0
169;27.05.2025;5124963;102926;Одежда;515.79;0.479;58;5;18;1;1;515.79;1;515.79;49.75;263;0;0.668;985;70.3;0
170;28.05.2025;5124963;102926;Одежда;515.79;0.479;34;3;9;1;1;515.79;1;515.79;49.75;262;0;0.55;871;29.9;0
171;29.05.2025;5124963;102926;Одежда;515.79;0.479;70;6;23;0;0;0.0;0;0.0;0.0;262;0;0.438;376;23.8;0
172;30.05.2025;5124963;102926;Одежда;515.79;0.479;46;3;14;2;0;0.0;0;0.0;0.0;262;0;0.529;1291;45.1;0
173;31.05.2025;5124963;102926;Одежда;515.79;0.479;66;3;23;1;1;515.79;1;515.79;49.75;261;0;0.57;523;1.0;0
174;01.06.2025;5124963;102926;Одежда;515.79;0.479;57;4;19;2;0;0.0;0;0.0;0.0;261;0;0.547;779;49.1;0
175;02.06.2025;5124963;102926;Одежда;515.79;0.479;26;3;9;1;0;0.0;0;0.0;0.0;261;0;0.572;715;13.5;0
176;03.06.2025;5124963;102926;Одежда;515.79;0.479;56;2;19;0;0;0.0;0;0.0;0.0;261;0;0.53;761;66.7;0
177;04.06.2025;5124963;102926;Одежда;515.79;0.479;54;4;17;2;0;0.0;0;0.0;0.0;261;0;0.68;674;44.7;0
178;05.06.2025;5124963;102926;Одежда;515.79;0.479;34;2;15;2;0;0.0;0;0.0;0.0;261;0;0.464;880;37.6;0
179;06.06.2025;5124963;102926;Одежда;515.79;0.479;60;4;17;0;0;0.0;0;0.0;0.0;261;0;0.574;785;66.0;0
180;07.06.2025;5124963;102926;Одежда;515.79;0.479;78;2;26;1;0;0.0;0;0.0;0.0;261;0;0.575;150;43.1;0
181;08.06.2025;5124963;102926;Одежда;515.79;0.479;100;2;29;0;0;0.0;0;0.0;0.0;261;0;0.495;720;67.9;0
182;09.06.2025;5124963;102926;Одежда;515.79;0.479;50;3;17;3;0;0.0;0;0.0;0.0;261;0;0.556;931;2.5;0
183;10.06.2025;5124963;102926;Одежда;515.79;0.479;76;4;29;1;0;0.0;0;0.0;0.0;261;0;0.51;762;36.3;0
184;11.06.2025;5124963;102926;Одежда;515.79;0.479;74;6;22;1;0;0.0;0;0.0;0.0;261;0;0.515;1246;17.0;0
185;12.06.2025;5124963;102926;Одежда;515.79;0.479;62;3;18;2;1;515.79;1;515.79;49.75;260;0;0.5;1041;19.0;0
186;13.06.2025;5124963;102926;Одежда;515.79;0.479;45;0;10;0;0;0.0;0;0.0;0.0;260;0;0.49;1077;36.3;0
187;14.06.2025;5124963;102926;Одежда;515.79;0.479;63;2;25;1;0;0.0;0;0.0;0.0;260;0;0.641;653;44.9;0
188;15.06.2025;5124963;102926;Одежда;515.79;0.479;80;1;24;2;0;0.0;0;0.0;0.0;260;0;0.735;1031;50.5;0
189;16.06.2025;5124963;102926;Одежда;515.79;0.479;46;1;13;1;0;0.0;0;0.0;0.0;260;0;0.659;976;40.5;0
190;17.06.2025;5124963;102926;Одежда;515.79;0.479;21;1;6;0;0;0.0;0;0.0;0.0;260;0;0.566;964;30.6;0
191;18.06.2025;5124963;102926;Одежда;515.79;0.479;39;1;12;2;1;515.79;1;515.79;49.75;259;0;0.528;806;29.0;0
192;19.06.2025;5124963;102926;Одежда;515.79;0.479;61;2;17;0;0;0.0;0;0.0;0.0;259;0;0.516;1111;41.0;0
193;20.06.2025;5124963;102926;Одежда;515.79;0.479;59;3;20;1;0;0.0;0;0.0;0.0;259;0;0.552;763;51.2;0
194;21.06.2025;5124963;102926;Одежда;515.79;0.479;41;0;12;0;0;0.0;0;0.0;0.0;259;0;0.577;570;27.5;0
195;22.06.2025;5124963;102926;Одежда;515.79;0.479;46;5;19;0;0;0.0;0;0.0;0.0;259;0;0.615;773;4.2;0
196;23.06.2025;5124963;102926;Одежда;515.79;0.479;99;4;28;1;0;0.0;0;0.0;0.0;259;0;0.546;825;25.4;0
197;24.06.2025;5124963;102926;Одежда;515.79;0.479;78;1;28;1;1;515.79;1;515.79;49.75;258;0;0.525;1130;36.1;0
